TOPICS,Automation & Control Systems,Chemistry,Computer Science,Engineering,Imaging Science & Photographic Technology,Instruments & Instrumentation,Mathematical & Computational Biology,Mathematics,Neurosciences & Neurology,Operations Research & Management Science,Optics,"Radiology, Nuclear Medicine & Medical Imaging",Remote Sensing,Robotics,Telecommunications
AI,,-0.09539538490679907,0.652570657010682,0.8061579436382782,0.13329471081244013,0.6987255451296968,0.00854101114133471,0.34509678030433844,0.6534221129566149,0.4317640962352301,0.15905197794211967,-0.04423049938747913,-0.3054771719962156,0.9952986391838161,0.3168306820189499
Classification,-0.09539538490679907,,0.20819302384061292,0.2770142545409837,0.42487361187301237,0.5168841345532391,0.8528458446164309,0.6501072141933363,0.5404894312271004,0.359308238654597,0.5642371917615393,0.6992819703904727,0.6119179242449377,-0.12339218312927962,0.46378404248694394
Convolutional Networks,0.652570657010682,0.20819302384061292,,0.9255727733906433,0.7291650655768684,0.5099687432073231,0.47354697072083507,0.7920151942490563,0.7975845413758693,0.9447731269854595,0.6229288891306567,0.4122387296845504,-0.0547782798677905,0.6125774674037382,0.730003274732511
Data Mining,0.8061579436382782,0.2770142545409837,0.9255727733906433,,0.6653044768954677,0.7611670788932778,0.4763514834286122,0.7088650013185698,0.8941109443026037,0.8076171115745153,0.6659935928369388,0.46157270003111767,0.07194081215678355,0.7794740509931888,0.7237140889805578
Database,0.13329471081244013,0.42487361187301237,0.7291650655768684,0.6653044768954677,,0.390728910952106,0.6422023456919742,0.6623419660633176,0.5917644590784098,0.7744472525579599,0.9076131412784739,0.7550436918781709,0.5115907537585433,0.08739989488373211,0.7392928692716442
Deep Learning,0.6987255451296968,0.5168841345532391,0.5099687432073231,0.7611670788932778,0.390728910952106,,0.4349077125293342,0.5013977276856856,0.8099986422735924,0.40040806208964236,0.5511039367179128,0.3975084980999011,0.34425342046468904,0.6863847519229214,0.49942619393754456
Feature Extraction,0.00854101114133471,0.8528458446164309,0.47354697072083507,0.4763514834286122,0.6422023456919742,0.4349077125293342,,0.7765529748241853,0.6368011459987473,0.6160545852439152,0.68308228720687,0.7941113902724225,0.5261790957228144,-0.029927717184717678,0.6490345367606579
Machine Learning,0.34509678030433844,0.6501072141933363,0.7920151942490563,0.7088650013185698,0.6623419660633176,0.5013977276856856,0.7765529748241853,,0.7583315971303103,0.9008895360159092,0.562088206975425,0.5230152306134209,0.19744799671079602,0.2935668598317842,0.650259440848972
Mobile Robots,0.6534221129566149,0.5404894312271004,0.7975845413758693,0.8941109443026037,0.5917644590784098,0.8099986422735924,0.6368011459987473,0.7583315971303103,,0.7392103388303769,0.6840656808711539,0.5956063885397272,0.1515280506455083,0.6421049720864371,0.6663410050091361
Pattern Recognition,0.4317640962352301,0.359308238654597,0.9447731269854595,0.8076171115745153,0.7744472525579599,0.40040806208964236,0.6160545852439152,0.9008895360159092,0.7392103388303769,,0.6226030348423341,0.4652010470862336,0.07468743172511076,0.3828163572335302,0.7393384855014632
Regression,0.15905197794211967,0.5642371917615393,0.6229288891306567,0.6659935928369388,0.9076131412784739,0.5511039367179128,0.68308228720687,0.562088206975425,0.6840656808711539,0.6226030348423341,,0.8751495518473841,0.6235083325921784,0.1324026185541088,0.808139203779268
Robotics,-0.04423049938747913,0.6992819703904727,0.4122387296845504,0.46157270003111767,0.7550436918781709,0.3975084980999011,0.7941113902724225,0.5230152306134209,0.5956063885397272,0.4652010470862336,0.8751495518473841,,0.6176423642375832,-0.06565489075708655,0.6161629816532598
Robots,-0.3054771719962156,0.6119179242449377,-0.0547782798677905,0.07194081215678355,0.5115907537585433,0.34425342046468904,0.5261790957228144,0.19744799671079602,0.1515280506455083,0.07468743172511076,0.6235083325921784,0.6176423642375832,,-0.3288113981689678,0.4558966365886303
SVM,0.9952986391838161,-0.12339218312927962,0.6125774674037382,0.7794740509931888,0.08739989488373211,0.6863847519229214,-0.029927717184717678,0.2935668598317842,0.6421049720864371,0.3828163572335302,0.1324026185541088,-0.06565489075708655,-0.3288113981689678,,0.2762996600875336
UAM,0.3168306820189499,0.46378404248694394,0.730003274732511,0.7237140889805578,0.7392928692716442,0.49942619393754456,0.6490345367606579,0.650259440848972,0.6663410050091361,0.7393384855014632,0.808139203779268,0.6161629816532598,0.4558966365886303,0.2762996600875336,
