,AI,Big Data,Classification,Clouds,Data Mining,Database,Deep Learning,Feature Extraction,Machine Learning,Pattern Recognition,Regression,Robotics,Robots,SVM,UAM
AI,,0.0001,0.0213,0.0,0.0,0.0009,0.0001,0.1163,0.0005,0.0001,0.1628,0.4107,0.4469,0.0001,0.001
Big Data,0.0015,,0.0008,0.0,0.0001,0.001,0.0,0.0003,0.0,0.0024,0.001,0.0005,0.0006,0.0,0.01
Classification,0.0004,0.0,,0.0051,0.0,0.0121,0.0,0.0,0.0,0.0,0.0001,0.0706,0.0101,0.0005,0.0
Clouds,0.0213,0.0,0.0081,,0.0032,0.3596,0.0,0.0026,0.0001,0.0048,0.0119,0.0354,0.032,0.0012,0.0
Data Mining,0.03,0.0,0.0,0.0,,0.0,0.0,0.0358,0.0,0.0,0.0001,0.0,0.0013,0.0004,0.0
Database,0.0001,0.0,0.001,0.0023,0.0,,0.0,0.2795,0.0033,0.0001,0.0706,0.004,0.0495,0.0083,0.0004
Deep Learning,0.0108,0.0,0.0009,0.0,0.0149,0.0047,,0.029,0.0,0.2229,0.0027,0.0008,0.0077,0.0011,0.0
Feature Extraction,0.0115,0.0001,0.0005,0.0001,0.0,0.1665,0.0,,0.0001,0.0012,0.0285,0.0701,0.2114,0.0314,0.0
Machine Learning,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0038,0.0,0.0,0.0,0.0,0.0
Pattern Recognition,0.0005,0.0,0.0001,0.0,0.0163,0.0116,0.0021,0.0025,0.0,,0.0004,0.0003,0.0011,0.0009,0.0001
Regression,0.0,0.0,0.0,0.0023,0.0,0.0015,0.0,0.0007,0.0,0.0,,0.0,0.0,0.0,0.0
Robotics,0.0005,0.0,0.4474,0.0038,0.0,0.3078,0.0,0.0006,0.0,0.0,0.0007,,0.0027,0.0019,0.0
Robots,0.0025,0.0,0.0129,0.0006,0.0,0.4712,0.0,0.065,0.0,0.0001,0.0001,0.0033,,0.0037,0.0
SVM,0.2254,0.0,0.2206,0.0,0.0,0.2323,0.0,0.1537,0.0,0.0003,0.0672,0.1384,0.09,,0.0
UAM,0.008,0.0,0.0004,0.0,0.0015,0.0021,0.0,0.0023,0.0,0.0437,0.0007,0.0001,0.0019,0.0,
