,AI,Big Data,Classification,Clouds,Data Mining,Database,Deep Learning,Feature Extraction,Machine Learning,Pattern Recognition,Regression,Robotics,Robots,SVM,UAM
AI,,0.4288155903571914,0.8717988050719527,0.6583987405696232,0.8985049029500373,0.8802628740699086,0.0640103125953811,0.8824795403148892,0.5283500456409868,0.7979087816767271,0.7600877140550731,0.8383719128594492,0.8730013324434153,0.8910522296931797,0.38419368425502703
Big Data,0.4288155903571914,,0.7017713384360431,0.7621902424370185,0.32567191892937414,0.5504417303409544,0.769722996644539,0.5295163362831057,0.92916200315111,-0.079954673277539,0.7775091896380038,0.66778704227471,0.5997157894229562,0.6367806660434835,0.9451856040344411
Classification,0.8717988050719527,0.7017713384360431,,0.8629367233736749,0.8575197259060611,0.9256017285769914,0.3775865860638633,0.9511423912397748,0.7949970518325995,0.5747564799216626,0.9741434561680614,0.9823795629954185,0.9776186725325926,0.9653307592687089,0.6819886318159413
Clouds,0.6583987405696232,0.7621902424370185,0.8629367233736749,,0.6676720878442013,0.7606506864770303,0.3546054252850561,0.8117886339948625,0.7539812008092227,0.29298878789026106,0.8941722109293694,0.8607922478876961,0.8381541766888965,0.894944141155656,0.6757292447876405
Data Mining,0.8985049029500373,0.32567191892937414,0.8575197259060611,0.6676720878442013,,0.9374912832987388,-0.03640121628478366,0.9010183970143302,0.4400004742839198,0.8348752794303768,0.7601395453238183,0.8709083649569692,0.8942674375763827,0.8925137670142764,0.2919683778090427
Database,0.8802628740699086,0.5504417303409544,0.9256017285769914,0.7606506864770303,0.9374912832987388,,0.22298483019290696,0.9232338171512536,0.6418077072188075,0.684755287196288,0.8696617328055903,0.9104993498394839,0.9226412583685304,0.9367063537055632,0.5268320714614773
Deep Learning,0.0640103125953811,0.769722996644539,0.3775865860638633,0.3546054252850561,-0.03640121628478366,0.22298483019290696,,0.22661515405060306,0.8344499120762036,-0.33628852594143005,0.5173490504067072,0.31679522770339685,0.2781665286125995,0.26951380586348395,0.8726957210857279
Feature Extraction,0.8824795403148892,0.5295163362831057,0.9511423912397748,0.8117886339948625,0.9010183970143302,0.9232338171512536,0.22661515405060306,,0.6567056355888331,0.7069848500212702,0.903965459725319,0.9365279086233705,0.9590586308037251,0.9560708559298973,0.5212838798286457
Machine Learning,0.5283500456409868,0.92916200315111,0.7949970518325995,0.7539812008092227,0.4400004742839198,0.6418077072188075,0.8344499120762036,0.6567056355888331,,0.054848364507446006,0.8744603298791139,0.7465290492768638,0.7065597711554147,0.7262500581586196,0.9364062451548049
Pattern Recognition,0.7979087816767271,-0.079954673277539,0.5747564799216626,0.29298878789026106,0.8348752794303768,0.684755287196288,-0.33628852594143005,0.7069848500212702,0.054848364507446006,,0.4177377310996172,0.577610464375176,0.6474708664753412,0.6040219185597138,-0.09549877197272566
Regression,0.7600877140550731,0.7775091896380038,0.9741434561680614,0.8941722109293694,0.7601395453238183,0.8696617328055903,0.5173490504067072,0.903965459725319,0.8744603298791139,0.4177377310996172,,0.961148367092775,0.9469487831980924,0.9290746774499979,0.7700655239010353
Robotics,0.8383719128594492,0.66778704227471,0.9823795629954185,0.8607922478876961,0.8709083649569692,0.9104993498394839,0.31679522770339685,0.9365279086233705,0.7465290492768638,0.577610464375176,0.961148367092775,,0.9883770452294747,0.9501199157699945,0.6365027525919554
Robots,0.8730013324434153,0.5997157894229562,0.9776186725325926,0.8381541766888965,0.8942674375763827,0.9226412583685304,0.2781665286125995,0.9590586308037251,0.7065597711554147,0.6474708664753412,0.9469487831980924,0.9883770452294747,,0.9540533698266535,0.5857047343607719
SVM,0.8910522296931797,0.6367806660434835,0.9653307592687089,0.894944141155656,0.8925137670142764,0.9367063537055632,0.26951380586348395,0.9560708559298973,0.7262500581586196,0.6040219185597138,0.9290746774499979,0.9501199157699945,0.9540533698266535,,0.5869459462834239
UAM,0.38419368425502703,0.9451856040344411,0.6819886318159413,0.6757292447876405,0.2919683778090427,0.5268320714614773,0.8726957210857279,0.5212838798286457,0.9364062451548049,-0.09549877197272566,0.7700655239010353,0.6365027525919554,0.5857047343607719,0.5869459462834239,
