,AI,Big Data,Classification,Clouds,Data Mining,Database,Deep Learning,Feature Extraction,Machine Learning,Pattern Recognition,Regression,Robotics,Robots,SVM,UAM
AI,,0.7439713988272241,0.945245362345226,0.8084586849266301,0.9739373267548753,0.9658982057065628,0.5486991264376878,0.9713717842312815,0.7231217570394047,0.7745845434033125,0.8740171807716683,0.9525620239845984,0.9297889076758957,0.9404892241460469,0.7584609100316032
Big Data,0.7439713988272241,,0.8849498392666282,0.844671067775454,0.7259772716090583,0.8522520180043177,0.8919900710049307,0.7350144954753192,0.950856371958111,0.2222731636885253,0.9374220481341015,0.8411719897743588,0.7094011700715487,0.8558256554114745,0.9652365701849364
Classification,0.945245362345226,0.8849498392666282,,0.8820655620086846,0.9439535685363134,0.9911634677933164,0.7479067146170233,0.9509794746161335,0.8878054497290964,0.6043434705762416,0.9809117168493903,0.9801320499693348,0.8962662215199877,0.990115051981733,0.8833052010797523
Clouds,0.8084586849266301,0.844671067775454,0.8820655620086846,,0.8508395845949916,0.8881490718534846,0.5705125736636203,0.8500057601455598,0.7472227339742268,0.5511941367811597,0.8679134108208322,0.9238915958155697,0.8844970250568837,0.9011886408069611,0.827670514826118
Data Mining,0.9739373267548753,0.7259772716090583,0.9439535685363134,0.8508395845949916,,0.9668528732170486,0.5053216902613014,0.9666908694279664,0.7103633994776262,0.7900499546689161,0.8758382451415683,0.9644623091356985,0.9240401254368791,0.9594561325477976,0.7145128337292885
Database,0.9658982057065628,0.8522520180043177,0.9911634677933164,0.8881490718534846,0.9668528732170486,,0.6842321972284606,0.966778137508296,0.8459513360209356,0.6593683473593898,0.9559749196477196,0.9855681941715851,0.9170195641174661,0.9894309898764848,0.8503623945081797
Deep Learning,0.5486991264376878,0.8919900710049307,0.7479067146170233,0.5705125736636203,0.5053216902613014,0.6842321972284606,,0.5390723288686511,0.9592018208775743,-0.03861168507755815,0.8462804088204415,0.6340035514130353,0.4485763407241594,0.697147218008343,0.8656561689611544
Feature Extraction,0.9713717842312815,0.7350144954753192,0.9509794746161335,0.8500057601455598,0.9666908694279664,0.966778137508296,0.5390723288686511,,0.7174037356911172,0.7919079969166354,0.8790352448236753,0.9742457015752086,0.9641065474445981,0.9491793765047978,0.7774780717124714
Machine Learning,0.7231217570394047,0.950856371958111,0.8878054497290964,0.7472227339742268,0.7103633994776262,0.8459513360209356,0.9592018208775743,0.7174037356911172,,0.18645037993020092,0.9538633278561136,0.805770514752151,0.6367298297772497,0.8618487928656663,0.9107645572358164
Pattern Recognition,0.7745845434033125,0.2222731636885253,0.6043434705762416,0.5511941367811597,0.7900499546689161,0.6593683473593898,-0.03861168507755815,0.7919079969166354,0.18645037993020092,,0.45409260441722654,0.6883887607090502,0.7964903293133742,0.6246285831089002,0.28226743057573334
Regression,0.8740171807716683,0.9374220481341015,0.9809117168493903,0.8679134108208322,0.8758382451415683,0.9559749196477196,0.8462804088204415,0.8790352448236753,0.9538633278561136,0.45409260441722654,,0.9379360623308454,0.8156885837779884,0.9660590137362352,0.9125659613702667
Robotics,0.9525620239845984,0.8411719897743588,0.9801320499693348,0.9238915958155697,0.9644623091356985,0.9855681941715851,0.6340035514130353,0.9742457015752086,0.805770514752151,0.6883887607090502,0.9379360623308454,,0.9560173890995081,0.9803012266108267,0.855772394736872
Robots,0.9297889076758957,0.7094011700715487,0.8962662215199877,0.8844970250568837,0.9240401254368791,0.9170195641174661,0.4485763407241594,0.9641065474445981,0.6367298297772497,0.7964903293133742,0.8156885837779884,0.9560173890995081,,0.8970713368623481,0.7742977112424961
SVM,0.9404892241460469,0.8558256554114745,0.990115051981733,0.9011886408069611,0.9594561325477976,0.9894309898764848,0.697147218008343,0.9491793765047978,0.8618487928656663,0.6246285831089002,0.9660590137362352,0.9803012266108267,0.8970713368623481,,0.8405469318858214
UAM,0.7584609100316032,0.9652365701849364,0.8833052010797523,0.827670514826118,0.7145128337292885,0.8503623945081797,0.8656561689611544,0.7774780717124714,0.9107645572358164,0.28226743057573334,0.9125659613702667,0.855772394736872,0.7742977112424961,0.8405469318858214,
