Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Inter Clouds , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing ,SVM , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Token Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,2,1,0,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,4,0,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,2,0,0,5,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,1,0,0,0,1,2,0,0,0,0
 Nearest Neighbors ,0,0,0,4,0,0,3,54,0,1,0,0,3,435,6,0,2,0,0,0,257,103,1,0,107,65,0,2,1,0,4,1,0,6,0,2,0,0,1,0,3,3,0,0,0,0,0,3,15,1,0,0,0,18,0,0,21,0,4,1,1,0,0,3,1,0,9,0,0,2,1,8,0,2,26,0,0,0,8,23,27,0,141,19,2,9,0,0,51,0,2,55,5,29,0,0,0,0,2,19,80,3,0,16,195,0,0,0,0,217,5,14,0,0,20,0,26,0,0,0,0,0,0,20,1,1,0,68,0,28,3,0,1
 Autonomou Cars ,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,1,4,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,2,0,0,9,14,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,0,0
 BD & Cloud Solutions ,2,4,0,0,0,23,14,450,10,13,35,7,35,251,7,0,2,0,0,1,62,54,29,0,113,18,2,2,3,0,41,2,0,17,3,0,0,0,3,37,30,8,844,2,19,5,266,6,44,8,2,0,0,65,0,109,32,0,3,10,9,0,0,245,2,56,16,59,0,27,0,40,2,6,6,46,205,2,3,60,41,19,28,14,3,1,14,0,15,9,30,137,30,8,0,7,0,0,2,6,29,15,1,35,565,0,245,10,0,396,2,33,0,26,1501,25,27,1,1,3,0,87,0,14,3,35,73,232,5,10,4,4,3
 Multi Processing ,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,4,3,0,0,0
 Industry 4 0 ,0,0,0,23,0,0,6,41,0,12,2,0,0,72,1,2,0,0,0,0,15,6,0,0,26,5,0,2,0,0,1,2,0,4,0,0,0,0,3,3,0,0,169,0,38,0,8,17,4,2,0,0,0,45,0,11,17,0,2,5,1,0,0,4,0,0,1,4,0,5,0,1,6,1,0,0,10,0,0,292,25,24,10,1,3,3,0,0,4,0,32,17,2,4,0,24,1,0,1,6,10,8,0,185,324,0,4,0,0,110,0,0,0,1,288,2,4,0,30,0,0,2,0,14,0,8,2,25,1,0,7,1,0
 Monte Carlo ,0,3,1,14,0,6,0,74,1,2,0,0,101,133,0,1,0,0,0,0,45,39,3,0,147,39,0,29,0,0,0,0,0,12,0,9,0,0,4,0,10,0,48,4,32,0,0,133,9,9,0,0,0,84,3,4,55,0,5,65,2,0,0,18,85,0,8,6,0,16,1,10,183,1,15,2,28,1,1,261,65,4,74,46,14,3,0,0,31,0,50,50,18,8,0,1,0,0,4,43,31,16,0,142,384,0,0,8,1,250,17,48,0,0,63,2,20,0,27,0,0,118,4,31,0,3,2,41,18,54,15,0,4
 Database ,1,54,0,450,0,41,74,0,39,178,4,72,30,3163,37,3,11,0,0,0,1287,452,30,3,796,343,9,112,6,0,278,17,0,70,4,20,12,7,24,9,22,29,382,6,46,7,418,114,744,30,0,0,2,679,7,113,705,0,89,38,154,0,0,43,19,7,23,33,0,251,6,644,60,16,138,7,317,30,28,693,235,8,712,77,34,81,2,1,293,1,118,614,74,202,0,7,1,1,68,467,1270,419,9,707,3477,2,135,27,1,2000,19,34,1,16,846,26,180,1,28,6,1,86,9,428,4,42,10,1767,23,335,17,23,21
 Machine Translation ,0,0,0,10,0,0,1,39,0,4,0,155,0,74,0,0,1,0,0,0,16,3,16,2,11,3,0,0,0,0,229,1,1,2,4,0,0,14,1,0,1,14,0,0,0,2,1,2,99,5,0,0,14,36,0,1,12,2,3,2,0,0,0,0,1,0,1,0,0,52,1,155,2,3,0,3,0,5,0,4,3,0,35,12,0,2,0,0,0,0,1,13,0,0,0,0,0,3,3,2,3,0,0,0,438,9,0,1,0,70,0,0,0,0,4,0,4,0,0,5,0,0,0,1,0,0,0,9,0,1,0,10,5
 Knowledge Representation ,2,1,0,13,1,12,2,178,4,0,1,4,0,276,1,0,2,0,1,0,13,5,4,1,14,7,1,1,1,0,112,44,0,6,6,0,0,1,2,0,1,2,9,1,0,1,31,36,90,4,0,0,0,117,0,3,10,1,3,16,0,0,0,5,3,1,0,4,0,3,0,13,7,2,3,1,1,12,0,233,28,0,33,16,8,0,0,0,8,0,9,56,2,6,0,1,0,1,6,19,26,183,0,163,1555,0,7,0,0,139,1,0,0,1,32,1,11,0,3,1,0,2,0,26,0,4,0,113,1,9,2,1,1
