Topic, Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , SVM , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Generative Adversarial Network , Transformers & Attention , Grid Computing , Text Classification , Clouds , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Data Science , Data Mining , Image Segmentation , UGV 
 Nearest Neighbors ,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,1,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
 BD & Cloud Solutions ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,1,0,2,0,1,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0
 Database ,0,1,2,0,0,11,4,1,41,0,0,1,0,0,7,2,3,0,7,1,1,0,0,0,0,0,11,1,30,3,0,0,1,3,0,2,0,1,0,1,0,0,15,0,0,7,0,1,1,5,1,22,2,0,0,3,0,16,1,6,0,8,17,30,2,75,0,8,0,4,0,3,0,2,1,0,4,0,44,1,0
 Machine Translation ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,0,0,0,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,1,0,0,0,1,2,1,0,0,0,0,1,9,4,52,0,5,0,0,0,0,0,1,0,0,3,0,5,0,0
 Language Modeling ,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supercomputers ,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
 Classification ,9,0,1,41,0,13,2,2,0,0,0,1,0,0,22,21,61,1,4,0,11,0,0,0,3,0,2,5,17,2,0,5,0,2,1,3,0,0,0,2,1,3,12,3,0,24,0,2,0,19,20,121,5,0,3,31,0,38,6,33,0,39,64,27,10,191,1,43,1,0,2,18,0,2,1,0,12,0,38,24,0
 Semi Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Meta Learning ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
