Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , SVM , Trees , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Bert , Unsupervised Learning , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , Data Mining , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,2,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
 BD & Cloud Solutions ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,2,6,0,1,0,2,1,0,0,0,1,0,1,0,0,2,0,0,0,0
 Database ,0,2,1,0,0,1,6,0,1,43,0,0,0,0,0,7,0,7,8,0,6,0,0,3,0,0,1,0,8,1,22,1,0,1,0,1,1,7,0,0,1,0,2,1,12,0,0,11,0,4,1,5,13,28,3,0,0,10,0,0,12,0,1,0,11,27,16,9,94,0,20,0,3,2,3,0,0,2,0,3,0,1,49,4,0,0,0
 Machine Translation ,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,2,0,0,0,0,0,0,1,0,6,4,43,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
 Language Modeling ,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supercomputers ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
 Classification ,0,9,1,0,43,1,5,3,0,0,0,0,0,0,0,32,0,38,55,0,6,0,0,9,0,0,3,0,1,10,12,2,0,0,0,1,1,3,0,1,0,3,1,3,6,0,1,21,0,0,0,15,11,93,3,0,2,21,0,5,33,5,20,0,27,60,24,11,165,0,42,3,0,3,15,0,1,0,0,11,1,0,23,19,0,2,0
