Topic, Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Automated Reasoning , NLP , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Big Data , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Nearest Neighbors ,0,0,0,0,0,0,0,0,0,15,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,7,1,0,1,0,4,0,0,0,4,0,0,0,10,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0
 BD & Cloud Solutions ,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
 Monte Carlo ,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,2,0,0,0,1,0,1,0,1,0,0,0,0,2,6,0,0,0,0,2,1,0,0,0,1,0,1,0,1,0,0,0
 Database ,0,1,0,0,0,3,0,4,0,65,1,0,0,11,8,4,1,0,0,5,4,0,0,0,0,0,1,0,0,10,3,38,2,0,0,0,2,2,6,0,0,0,0,0,1,29,1,0,4,0,0,5,0,9,9,22,2,0,0,6,0,15,2,5,10,25,19,0,5,108,0,0,15,0,2,4,0,0,0,0,6,58,0,5,0,0,0
 Machine Translation ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,0,0,0,3,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,5,3,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,4,0,0,0,0,5,0,3,49,0,0,9,0,0,0,1,0,0,0,0,3,0,0,0,0,0
 AWS ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,2,0,4,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supercomputers ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
 Classification ,15,1,2,65,1,7,0,3,1,0,1,0,2,94,55,57,0,2,0,6,20,0,0,1,1,1,7,1,0,1,7,25,2,0,2,0,3,2,7,1,0,0,1,1,4,18,7,1,25,0,0,0,0,21,32,134,4,1,1,40,0,69,5,43,36,87,18,0,9,270,0,1,68,8,2,2,28,0,3,0,14,57,0,41,0,0,1
