Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , SVM , Trees , Regression , Multi-layer perceptron , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Text Generation , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Mining , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,6,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,10,1,0,0,0,4,0,1,0,0,0,0,5,0,0,5,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0
 BD & Cloud Solutions ,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
 Monte Carlo ,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,1,0,0,8,1,5,0,0,0,0,1,0,1,1,0,0,0,1,0,2,9,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,1,3,0,0,0
 Database ,0,3,6,3,0,1,7,0,0,3,101,0,1,1,0,34,0,13,9,4,9,0,3,0,0,0,2,2,1,0,13,4,30,1,0,1,0,0,0,1,7,2,0,2,2,9,27,2,0,4,1,2,0,0,13,6,37,2,0,0,0,7,0,18,4,4,0,25,31,26,7,158,0,1,0,25,2,2,4,0,5,0,1,1,0,5,0,92,12,0,2,0
 Machine Translation ,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,3,0,0,0,0,0,4,3,0,0,0,1,0,2,6,66,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
 AWS ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supercomputers ,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0
