Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Trees , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Robotics , AI , Text Generation , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,1,0,0,0,0,16,0,0,0,5,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,7,0,0,0,1,0,0,1,1,0,0,0,3,0,0,9,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0
 BD & Cloud Solutions ,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
 Monte Carlo ,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,4,3,0,5,0,0,1,0,0,0,0,1,0,1,0,0,12,0,1,0,0,0,0,0,1,1,0,1,5,0,0,0,1,10,0,0,0,0,1,0,15,3,0,5,0,2,0,1,0,0,0,0,0,0,4,1,1,12,21,0,0,0,2,2,1,0,0,1,0,0,1,0,1,0,0,3,1,0,0
 Database ,0,1,3,2,0,1,5,6,1,132,0,0,0,54,7,21,11,1,4,13,0,1,0,0,1,0,2,0,0,0,21,12,43,1,0,0,0,2,0,4,3,9,2,0,1,1,5,51,2,0,8,0,1,13,1,35,15,1,57,4,0,6,11,1,27,4,2,0,0,34,79,21,28,215,0,0,0,57,0,1,2,0,3,0,0,0,0,25,79,0,19,0,0,0
 Machine Translation ,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,0,0,0,0,5,0,0,1,0,9,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,0,1,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0,6,3,0,5,1,0,0,1,1,2,0,0,0,0,0,2,9,8,87,0,0,0,5,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0
 Language Modeling ,0,0,0,0,6,6,1,0,0,11,0,0,0,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,38,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
 Supercomputers ,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0
 Classification ,0,16,2,2,132,1,9,11,1,0,10,0,2,264,34,89,103,0,3,15,0,20,0,0,2,1,1,14,11,1,5,15,35,5,0,0,0,6,0,9,8,12,1,1,10,0,11,61,9,2,44,0,0,2,6,49,57,0,250,4,0,14,64,2,76,26,69,0,0,59,225,33,42,515,0,1,0,200,0,1,8,0,43,0,10,0,0,41,133,1,70,2,1,1
