Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Kernel Machine , Clouds , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Semantic Search , Data Center , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,5,0,0,0,0,0,28,0,0,0,0,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,9,1,0,0,0,3,0,0,3,0,3,0,0,5,4,1,0,0,13,0,0,10,2,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0
 BD & Cloud Solutions ,0,0,0,0,4,1,1,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 Monte Carlo ,0,0,0,0,4,1,0,0,0,7,3,0,0,0,0,2,0,0,5,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,2,5,0,2,1,0,0,0,7,2,3,1,0,0,0,1,0,2,3,1,0,0,0,2,1,0,0,1,18,0,0,5,3,0,0,0,1,0,1,3,0,0,0,0,1,0,2,0,0,0
 Database ,0,5,4,4,0,4,10,0,2,2,127,1,0,1,0,60,6,0,23,10,0,9,17,2,0,2,0,0,1,0,1,0,0,0,0,13,6,62,4,0,2,1,2,0,6,1,10,0,0,3,0,0,1,53,5,0,6,0,0,11,2,24,12,51,6,0,1,0,18,0,5,22,5,7,0,0,21,67,16,0,20,185,1,0,39,0,0,3,0,8,0,1,3,0,14,0,0,98,2,13,1,0,0
 Machine Translation ,0,0,1,1,4,0,0,0,20,0,5,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,6,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
 Knowledge Representation ,1,0,1,0,10,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,5,3,4,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,11,1,5,1,1,0,0,0,0,0,3,0,0,0,0,2,0,13,0,7,74,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0
 AWS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,0,0,0,2,20,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
 Supercomputers ,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,4,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,9,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
