Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Token Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Computer Vision , Loss Functions , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,4,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,3,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0
 BD & Cloud Solutions ,0,0,0,0,0,7,1,0,0,0,2,4,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,2,1,8,0,0,3,0,0,0,0,0,1,1,0,0,1,0,1,0,2,0,1,0,2,0,0,1,0,0,0,0,6,0,3,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,14,0,0,1,0,3,0,0,2,0,0,0,1,1,0,0,5,0,0,0,0,0
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,0,0,0,1,0,0,0,0,8,5,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,6,0,1,0,0,0,0,18,2,4,2,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,2,25,0,0,6,0,4,0,0,0,0,0,1,3,3,0,0,2,1,3,0,0,1
 Database ,0,2,7,0,1,0,4,11,0,8,4,157,3,0,1,60,10,0,26,27,1,8,4,2,3,0,1,0,6,2,3,0,0,18,7,39,1,0,1,10,6,0,5,0,16,4,2,0,1,2,4,35,3,0,7,1,5,3,0,45,12,39,3,0,4,24,0,1,36,8,6,0,0,0,40,71,29,0,26,209,0,0,56,0,0,0,7,2,8,0,0,2,15,2,0,98,0,23,0,1,0
 Machine Translation ,0,0,1,0,0,4,0,0,0,10,0,4,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,1,0,0,0,2,0,0,9,2,0,4,0,0,0,0,0,0,0,0,2,7,2,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,15,1,3,1,0,0,0,0,0,5,0,0,0,0,0,2,4,8,0,8,119,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,1,0,0
 AWS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,0,0,0,0,8,10,0,0,0,0,14,0,0,0,2,0,0,1,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,58,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Supercomputers ,0,0,2,2,8,4,0,0,0,0,0,4,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,6,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,4,1,0,3,0,3,0,1,0,0,1,0,16,0,0,0,0,0,0,0,0,0
 Classification ,0,16,4,0,5,157,4,11,0,14,4,0,23,0,3,411,71,4,153,94,0,5,19,4,22,0,3,2,2,30,2,9,0,4,24,51,3,0,2,1,2,0,8,3,12,2,2,0,5,5,5,53,13,0,33,0,0,5,5,66,56,227,6,5,13,66,0,7,146,21,99,1,0,3,68,229,28,2,55,619,0,0,330,5,9,0,5,0,52,0,12,3,61,2,0,155,2,74,2,2,3
 Semi Supervised Learning ,0,0,0,0,0,3,0,0,0,0,0,23,0,0,0,3,1,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,10,0,0,0,0,0,2,0,0,0,0,20,0,0,4,0,0,0,0,0,8,0,0,0,1,1,0,0,0,2,0,0,1
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
