Topic, Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , Hardware Acceleration , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Nearest Neighbors ,0,0,0,0,6,0,1,0,0,17,1,0,0,0,11,9,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,2,0,0,5,0,0,0,0,0,3,0,0,1,4,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
 BD & Cloud Solutions ,0,0,0,0,6,0,1,0,1,5,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,9,0,0,3,0,1,1,1,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0
 Multi Processing ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,0,0,3,0,0,0,4,8,0,0,0,0,3,2,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,7,0,0,1,0,0,15,5,1,2,1,0,0,1,0,0,4,1,0,0,0,3,4,2,0,6,25,0,0,10,0,2,0,0,0,1,0,0,2,0,1,0,0,2,0,5,0,0,0
 Database ,6,6,0,3,0,2,10,5,2,158,1,0,1,0,64,12,1,47,17,1,4,0,6,3,3,1,0,0,0,0,3,4,13,1,0,0,16,7,49,2,0,2,0,3,0,4,3,10,2,3,0,0,0,12,51,3,9,0,21,0,1,30,11,32,5,4,4,0,16,0,4,34,6,15,0,1,31,71,19,0,36,164,0,0,81,3,0,0,10,2,9,0,2,4,0,11,0,0,91,1,17,0,1,0
 Machine Translation ,0,0,0,0,2,0,0,6,0,3,0,0,0,0,1,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,26,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,1,1,1,0,10,0,0,1,0,19,0,0,1,0,0,0,0,1,3,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,3,1,1,1,0,0,0,0,0,6,0,1,0,1,0,0,9,0,10,97,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0
 Language Modeling ,0,0,0,0,5,6,1,0,0,5,0,0,0,0,4,4,1,0,3,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Supercomputers ,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0
 Classification ,17,5,0,8,158,3,19,5,0,0,20,0,3,0,384,92,7,144,82,0,5,0,21,4,20,0,0,1,0,1,2,25,1,7,0,0,5,24,56,4,0,3,0,1,6,7,4,10,1,4,0,7,3,9,37,9,23,0,3,5,9,79,50,229,4,3,13,0,73,1,7,137,23,108,0,4,67,262,24,0,56,515,0,0,348,5,1,0,6,1,70,0,8,2,1,51,3,0,167,0,76,2,3,7
