Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,0,0,5,0,0,0,0,0,30,0,0,0,0,0,19,2,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,4,3,10,0,0,0,0,5,0,0,8,3,0,0,0,1,5,0,0,1,15,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,2,0,0,0
 Autonomou Cars ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 BD & Cloud Solutions ,0,0,0,0,0,1,10,1,0,0,0,2,3,0,0,0,0,0,1,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,4,0,34,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,3,16,0,0,5,2,1,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,11,0,5,0,0,4,2,0,0,2,0,0,0,1,1,0,0,0,0,3,4,0,1,0,0,0
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
 Monte Carlo ,0,0,1,1,0,0,2,0,1,0,0,5,9,0,0,0,0,0,0,2,0,0,9,3,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,6,0,0,0,0,1,0,0,2,0,0,6,0,0,0,0,10,1,0,0,0,1,0,13,4,5,4,0,0,0,1,0,0,1,0,0,0,0,3,1,2,0,6,13,0,0,0,0,2,1,1,0,0,0,0,0,1,9,0,2,0,0,0,4,1,2,1,0,0
 Database ,1,5,0,10,0,2,0,1,6,0,2,2,174,4,1,0,0,0,87,12,0,1,32,46,2,5,0,11,1,0,5,0,0,1,1,1,3,20,0,1,1,11,32,4,2,0,5,0,3,0,3,2,5,0,0,0,0,12,32,6,1,11,0,21,4,2,39,13,45,1,2,2,0,21,0,1,37,13,6,0,0,23,86,15,0,42,190,0,1,0,0,83,0,0,1,12,0,14,0,1,7,0,20,0,0,0,78,4,27,0,2,0
 Machine Translation ,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 Knowledge Representation ,0,0,0,0,0,1,6,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,3,0,0,2,0,0,0,0,0,1,0,0,0,1,3,1,1,0,9,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,1,0,7,2,2,0,0,0,0,0,0,0,2,3,0,0,0,1,2,16,0,3,78,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
 AWS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
