Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,0,0,4,0,0,0,0,0,26,1,0,0,0,0,0,20,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,6,1,0,1,0,3,0,0,1,4,0,0,0,9,0,0,0,17,0,0,0,0,7,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,1
 BD & Cloud Solutions ,0,0,0,0,0,1,13,1,0,2,0,1,4,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,60,0,0,0,5,2,0,0,0,0,0,3,0,0,2,1,10,0,4,0,3,1,1,0,0,0,1,11,0,0,0,3,1,0,0,0,2,0,1,1,4,0,2,0,0,0,0,0,1,7,0,3,0,0,4,0,0,0,13,0,0,0,0,3,0,0,1,0,4,11,0,0,0,0,0
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Industry 4 0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,1,0,0,0,2,0,0,0,0,3,7,0,0,0,0,0,0,3,2,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,1,0,0,0,0,5,1,0,0,0,0,0,0,3,1,2,3,0,0,1,0,0,8,0,1,0,1,0,0,14,2,5,2,2,0,0,2,0,0,2,0,1,0,4,1,1,0,12,18,0,0,1,0,4,4,2,0,0,1,0,0,1,10,0,2,0,0,1,4,1,2,0,0,0
 Database ,0,4,13,0,0,2,0,5,7,2,6,0,156,4,0,2,0,0,0,75,15,2,30,16,0,7,0,12,0,0,2,0,0,0,1,0,0,1,20,1,0,0,19,32,7,1,0,3,0,1,0,5,0,8,1,1,1,0,3,10,31,0,0,4,0,15,2,1,51,12,32,9,4,9,0,16,0,3,33,9,2,2,22,67,22,0,34,145,0,1,0,0,81,1,0,1,10,2,14,0,1,4,0,21,0,2,0,95,1,21,0,1,0
 Machine Translation ,0,0,1,0,0,0,5,0,0,0,10,0,9,0,0,0,0,0,0,1,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 Knowledge Representation ,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,1,0,0,4,5,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,1,0,0,0,0,1,0,2,6,0,1,0,2,1,4,0,10,84,0,0,0,0,6,0,1,0,0,0,2,0,0,2,0,0,0,0,0,7,0,0,0,0,0
 AWS ,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
