Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Unmanned Spacecraft , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing ,SVM , RNN , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
 Nearest Neighbors ,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,7,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,0,3,0,1,0,0,2,0,1,0,0,2,7,1,0,0,4,0,0,0,0,11,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,3,0,0,0
 Autonomou Cars ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BD & Cloud Solutions ,0,0,0,0,0,0,3,18,0,0,2,1,0,8,0,0,0,0,0,4,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,5,0,79,0,0,0,7,0,4,0,0,0,2,0,0,0,0,1,9,1,3,0,4,0,2,1,0,0,0,2,9,0,0,3,2,1,1,0,0,2,0,0,2,3,2,0,0,0,0,2,0,0,5,8,0,3,0,0,6,0,2,4,41,5,0,0,0,5,0,0,0,0,11,5,0,1,0,0,1
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 Industry 4 0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,0,3,0,0,0,4,0,0,0,0,11,6,0,0,0,0,0,0,4,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,2,0,0,0,0,4,0,1,5,0,0,0,0,0,0,11,0,1,1,1,0,0,16,4,4,1,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,9,19,0,0,0,0,8,2,1,0,0,1,2,0,4,15,0,4,0,0,0,0,2,6,1,0,0
 Database ,0,1,0,18,0,0,4,0,2,10,0,3,3,168,1,0,0,0,0,81,20,2,43,24,0,10,0,12,2,3,0,0,1,0,0,2,1,26,0,1,0,16,8,51,1,9,0,3,2,0,3,1,5,4,1,0,0,4,0,10,36,1,0,6,0,20,3,0,62,14,31,1,2,6,0,13,0,3,33,2,13,1,1,22,73,16,1,52,176,1,3,1,0,83,0,1,0,28,1,9,0,2,1,3,31,0,1,0,96,0,31,0,2,1
 Machine Translation ,0,0,0,0,0,0,0,2,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
 Knowledge Representation ,1,0,0,0,0,0,0,10,1,0,0,0,0,19,0,0,0,1,0,1,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,1,1,0,0,0,6,1,5,0,5,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,1,0,4,1,0,0,1,0,0,3,0,0,0,0,1,3,4,0,14,78,0,0,0,0,10,0,0,1,1,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0
 AWS ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,0,0,1,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,2,0,1,0,3,0,0,0,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,11,4,6,0,0,0,0,0,0,0,0,0,0,1,1,0,17,63,0,0,0,0,0,1,0,4,0,4,3,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,52,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 Supercomputers ,1,0,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,3,10,0,0,0,0
 Classification ,1,23,0,8,0,0,6,168,1,19,0,5,3,0,15,0,4,1,0,542,157,26,227,113,0,10,1,30,1,29,0,0,4,0,1,0,27,18,5,0,1,6,33,52,1,19,0,2,15,0,11,5,9,5,2,0,7,5,0,10,55,10,6,24,0,4,2,11,129,61,263,5,6,21,0,76,0,21,169,15,147,1,10,102,307,23,1,83,588,0,0,0,0,513,2,3,0,20,0,88,0,10,7,4,112,3,0,2,177,9,92,5,3,7
 Semi Supervised Learning ,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,6,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,2,0,0,3,0,2,0,0,8,0,0,0,0,5,0,0,0,1,0,5,0,0,0,1,2,0,0,0,1,0,0,0,0,2
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0
 Meta Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 Unmanned Spacecraft ,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
