Topic, Multiprocessing , Nearest Neighbors , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Inter Clouds , Image To Text , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,18,9,0,0,10,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,3,0,4,1,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,9,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0
 BD & Cloud Solutions ,0,0,0,0,0,2,44,2,1,1,0,2,7,0,0,2,0,0,0,3,2,0,0,12,4,0,0,0,4,0,2,0,0,0,0,0,0,2,0,89,0,0,0,30,0,2,0,0,0,1,0,0,15,0,0,0,0,18,1,3,0,4,0,0,4,0,0,0,0,12,0,0,3,3,0,0,1,1,0,1,0,0,1,1,11,2,2,0,0,1,0,2,1,0,2,33,0,37,0,0,20,0,2,1,100,4,1,0,0,0,0,4,0,1,0,1,15,22,0,0,0,0,1
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Industry 4 0 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,2,0,0,0,8,0,0,0,0,10,12,0,0,0,0,0,0,2,1,1,0,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,12,1,1,0,0,0,0,0,1,0,0,6,0,1,7,0,0,0,0,0,2,11,0,1,0,1,0,0,27,4,0,5,3,3,0,0,0,2,0,4,4,2,3,0,0,0,5,5,0,0,3,31,0,0,1,0,9,2,2,0,5,0,2,0,6,0,0,10,0,1,0,0,0,5,0,4,0,0,0
 Database ,0,3,44,0,0,8,0,4,12,0,7,2,231,4,0,2,0,0,0,108,35,3,0,60,25,0,6,0,26,1,4,0,0,0,1,2,0,2,1,46,1,2,0,36,6,35,2,0,0,17,0,10,19,0,5,0,9,3,0,0,2,1,14,0,38,6,1,5,0,20,3,0,62,15,0,37,6,3,11,0,0,19,0,8,39,13,5,0,0,3,30,100,14,0,51,196,1,13,3,0,131,0,5,3,70,4,16,0,0,0,0,8,0,31,0,1,4,111,3,21,1,1,1
 Machine Translation ,0,0,2,0,0,0,4,0,0,0,11,0,6,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Knowledge Representation ,0,0,1,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,6,0,8,92,0,1,0,0,7,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
 AWS ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
