Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Quantum Computing , Machine Learning , AUV , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
 Nearest Neighbors ,0,0,0,1,0,1,4,0,0,0,0,0,31,2,0,0,0,16,13,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,1,0,2,0,3,0,0,5,2,2,0,0,0,1,5,0,0,2,18,0,0,0,0,0,21,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,10,0,2,0,0,0
 Autonomou Cars ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BD & Cloud Solutions ,0,1,0,0,0,2,54,0,0,2,0,4,28,0,0,0,0,18,4,2,10,2,0,1,0,4,0,2,0,0,0,0,0,2,2,0,106,0,5,0,29,2,2,1,1,0,1,0,17,0,0,2,1,32,0,9,4,5,0,0,6,0,0,0,4,22,0,0,5,5,0,3,2,0,0,1,1,0,2,9,3,2,0,0,1,0,3,0,0,4,38,0,33,0,0,4,33,0,4,163,3,5,0,0,0,0,7,0,4,1,1,12,26,0,3,0,0,0
 Industry 4 0 ,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 Monte Carlo ,0,1,0,2,0,0,4,0,0,0,0,8,17,0,0,0,0,7,3,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,0,1,0,0,1,7,2,0,0,5,0,0,0,2,4,0,4,7,0,0,1,1,0,2,8,0,3,0,1,0,1,14,7,0,6,6,0,1,0,1,0,0,2,3,2,0,0,0,3,2,0,0,11,34,0,0,0,0,4,20,1,0,2,0,2,0,3,0,0,14,0,1,0,0,1,2,3,2,0,0,0
 Database ,0,4,0,54,0,4,0,2,11,1,5,1,232,4,0,1,0,118,48,3,63,24,1,11,0,21,0,5,0,0,1,0,1,0,0,4,65,1,6,0,34,46,8,2,0,0,40,1,21,25,5,6,10,5,0,0,0,4,22,1,40,3,3,8,0,29,3,1,59,8,1,46,5,5,10,0,20,1,11,46,3,17,0,0,3,31,85,27,0,52,225,0,13,8,0,5,148,2,5,97,3,18,0,5,0,0,13,2,44,0,1,4,137,1,24,3,2,0
 Machine Translation ,0,0,0,0,0,0,2,0,2,0,14,0,6,0,0,0,0,1,0,0,2,0,0,0,0,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,7,0,13,1,0,0,3,0,1,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,44,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
 Knowledge Representation ,0,0,0,0,3,0,11,2,0,0,0,0,24,0,0,0,0,3,0,1,2,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,4,2,8,0,31,120,0,0,0,0,0,8,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
 AWS ,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,0,0,0,0,0,5,14,0,0,0,0,13,0,0,0,0,5,0,4,2,0,0,0,0,19,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,22,0,3,0,0,9,0,2,8,0,0,0,0,0,0,0,0,65,0,71,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,4,31,1,0,0,0,0,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 Supercomputers ,0,0,0,4,0,8,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,2,11,0,0,3,1,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,1,7,0,1,3,0,0,5,0,0,11,0,0,0,0,0,0,44,0,1,0,0,0,1,6,0,0,0,0
 Classification ,0,31,0,28,2,17,232,6,24,0,13,4,0,34,0,9,2,782,330,53,256,93,0,16,3,63,1,47,0,1,4,2,4,0,1,48,34,5,0,3,5,69,20,4,0,1,102,3,5,95,17,18,5,8,3,0,7,4,20,4,50,7,9,26,1,9,4,8,168,63,0,259,7,6,36,0,102,1,49,217,20,175,0,1,19,122,357,18,2,135,766,0,0,1,0,4,805,10,0,152,4,125,0,4,0,0,14,4,145,2,5,1,237,5,77,4,7,6
 Semi Supervised Learning ,0,2,0,0,0,0,4,0,0,0,0,0,34,0,0,0,0,15,2,1,7,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,10,2,3,0,0,1,0,2,2,0,1,26,0,0,0,0,0,13,0,0,2,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1
 Unmanned Vehicle ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
 Meta Learning ,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
 Self Supervised Learning ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 SVM ,0,16,0,18,0,7,118,1,3,0,5,0,782,15,0,2,0,0,181,12,203,86,0,6,1,20,0,11,0,0,1,0,1,0,1,11,7,2,0,0,1,15,4,3,0,0,22,0,1,36,7,1,4,4,0,0,3,1,3,0,9,1,1,9,0,1,0,8,55,51,0,90,1,9,23,0,64,0,6,54,24,80,0,1,5,34,174,8,1,23,303,0,0,1,0,0,482,0,0,52,0,68,0,0,0,0,9,0,57,2,2,0,91,0,25,1,5,4
 Trees ,0,13,0,4,0,3,48,0,0,0,0,0,330,2,0,0,0,181,0,1,126,11,0,5,0,0,2,3,0,0,0,0,0,0,0,1,6,0,0,1,0,2,0,0,0,0,2,0,0,6,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,10,9,7,0,18,1,0,3,0,8,0,3,21,9,24,0,0,1,6,28,0,4,1,105,0,0,0,0,0,181,0,0,14,0,9,0,0,0,0,1,0,8,0,3,1,36,0,5,2,1,0
 Sentiment Analysis ,0,0,0,2,0,0,3,0,1,0,4,0,53,1,0,1,0,12,1,0,4,1,0,0,0,28,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,7,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,0,2,1,0,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,68,0,1,0,0,0,23,0,0,11,0,1,0,0,1,0,0,0,1,0,0,0,7,0,0,0,1,0
