Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Unmanned Spacecraft , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Inter Clouds , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
 Nearest Neighbors ,0,0,0,1,0,0,1,4,0,0,0,0,0,37,0,0,0,0,0,0,35,12,1,0,9,1,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,3,0,0,9,1,5,0,0,0,2,2,4,0,0,1,20,0,0,0,0,25,0,2,0,6,0,5,0,0,0,0,0,0,4,0,0,0,9,0,2,0,0,0
 Autonomou Cars ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 BD & Cloud Solutions ,1,1,0,0,0,2,1,68,3,3,7,0,6,34,0,0,0,0,0,0,5,4,8,0,12,0,0,0,0,6,0,1,0,0,0,0,0,4,1,1,138,1,1,1,43,6,1,4,1,0,0,6,0,2,12,3,0,1,0,29,0,9,1,13,0,0,5,1,0,1,7,33,0,1,12,2,2,2,2,0,1,3,4,0,2,20,2,2,0,0,0,0,1,1,1,0,9,80,0,46,2,0,33,0,4,11,229,3,4,0,0,2,0,11,0,1,0,3,7,28,2,0,1,2,1
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
 Industry 4 0 ,0,0,0,2,0,0,1,4,0,4,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,16,24,0,0,0,0,3,0,0,1,27,1,0,0,2,0,0,0,0,0,0,1,1,7,1,0,1,0,0
 Monte Carlo ,0,1,0,1,0,1,0,8,0,0,0,0,8,11,0,0,0,0,0,0,0,6,1,0,11,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,8,1,0,0,0,3,0,1,0,1,9,1,0,0,6,0,3,2,0,0,0,18,0,2,0,4,0,0,29,4,0,3,5,1,1,0,3,0,4,9,2,0,0,0,0,1,2,4,2,0,18,31,0,0,5,0,17,4,4,0,10,0,2,0,2,0,0,17,0,0,0,0,0,3,4,4,1,0,0
 Database ,0,4,0,68,0,4,8,0,6,9,0,3,3,267,4,0,0,0,0,0,106,47,4,0,85,21,1,12,2,23,2,5,0,0,1,0,2,0,1,3,70,1,6,2,41,39,8,0,0,0,0,78,2,87,9,14,5,7,0,6,3,1,2,2,34,2,36,4,1,8,2,23,2,3,59,20,0,41,2,4,9,1,25,0,8,51,6,18,0,0,0,6,20,99,16,0,75,230,0,32,3,0,188,0,0,1,117,4,9,1,2,0,1,7,2,43,0,2,0,129,2,25,1,2,1
 Machine Translation ,0,0,0,3,0,0,0,6,0,1,0,24,0,8,0,0,0,0,0,0,1,0,4,2,1,0,0,0,0,37,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,16,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,10,0,16,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,50,1,0,0,0,7,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
 Knowledge Representation ,0,0,0,3,0,4,0,9,1,0,0,0,0,14,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,9,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,1,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,2,0,0,2,1,0,0,0,0,0,4,0,1,1,0,1,2,0,1,19,0,18,122,0,0,0,0,13,0,0,0,6,0,1,0,0,0,0,0,0,1,0,2,0,9,1,0,0,0,0
