Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Image To Text , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Statistical Learning , Image Classification , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,0,0,0,0,2,0,0,0,0,0,32,1,0,0,0,0,37,10,0,0,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,6,0,0,0,0,5,0,2,4,0,2,0,0,0,0,2,4,0,0,5,8,0,0,0,0,22,1,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,4,0,0,1,0,0
 Autonomou Cars ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
 BD & Cloud Solutions ,0,0,0,0,0,6,0,79,0,2,7,1,6,39,3,0,0,0,1,6,14,10,0,21,1,0,0,0,8,0,0,0,0,0,0,0,6,3,3,120,0,4,1,44,0,8,0,0,0,14,0,18,1,0,2,0,0,45,0,4,2,8,1,0,2,0,0,3,8,39,1,0,5,6,1,1,3,0,0,2,6,3,8,24,4,0,3,0,0,0,0,8,3,0,2,113,0,39,1,0,102,0,3,4,246,1,5,0,0,1,0,22,0,1,0,6,12,40,1,2,0,1,0
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0
 Industry 4 0 ,0,0,0,6,0,0,0,6,0,1,1,0,0,20,0,0,0,0,0,5,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,0,7,0,3,6,0,0,0,0,4,0,2,0,0,1,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,0,0,59,5,2,3,0,0,1,0,0,0,2,4,0,0,6,0,0,0,3,1,5,0,37,63,0,2,0,0,17,0,0,0,62,0,1,0,4,0,0,0,0,2,0,1,1,9,0,0,0,0,0
 Monte Carlo ,0,0,0,0,0,0,0,6,0,0,0,0,8,9,0,0,0,0,0,2,6,0,0,17,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,8,0,13,0,0,13,0,1,0,0,12,1,1,15,1,10,0,0,1,7,0,1,0,3,0,0,18,0,0,0,5,0,0,33,3,0,5,7,1,0,0,5,0,15,4,1,0,0,0,0,3,7,4,1,0,23,34,0,0,1,1,29,2,4,0,12,0,2,0,2,0,0,13,0,4,0,1,0,4,3,9,6,0,1
 Database ,0,2,0,79,0,6,6,0,1,11,0,6,0,299,3,0,1,0,0,109,61,3,0,94,26,1,9,0,29,0,8,0,2,1,1,5,2,0,2,49,0,9,2,59,10,38,1,0,0,131,1,20,173,11,0,7,0,0,3,2,3,4,20,1,37,4,2,13,0,41,3,5,64,8,0,39,5,5,7,1,26,0,14,36,10,14,2,1,0,9,29,101,30,1,81,262,0,34,6,0,214,2,1,2,142,6,13,0,1,1,0,12,1,39,0,6,2,116,2,34,4,3,4
 Machine Translation ,0,0,0,0,0,0,0,1,0,0,0,7,0,9,0,0,0,0,0,1,0,1,0,1,1,0,0,0,15,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,3,8,0,0,2,1,0,0,0,0,0,0,0,0,12,1,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,26,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1
 Knowledge Representation ,0,0,0,2,0,1,0,11,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,0,10,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,19,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,2,6,0,11,75,0,2,0,0,6,0,0,0,8,0,0,0,0,1,0,0,0,3,0,1,0,6,0,0,0,0,0
