Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , NLP , Automated Reasoning , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Mobile Robots , Information Retrieval , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Convolutional Networks , Data Storage , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , AUV , Quantum Computing , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,1,0,0,0,2,0,0,0,0,0,29,1,0,2,0,0,27,22,0,0,17,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,3,0,0,0,1,2,1,0,2,2,0,1,0,0,4,0,0,4,1,0,0,0,0,2,10,0,0,4,18,0,0,0,0,27,0,2,0,3,0,4,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0
 Autonomou Cars ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 BD & Cloud Solutions ,0,1,0,0,0,4,3,63,0,1,7,0,8,44,3,0,0,0,0,6,12,4,0,19,3,0,1,0,2,2,7,3,0,0,0,0,9,1,0,121,0,4,1,31,1,5,0,0,11,0,8,14,0,0,4,0,42,0,8,1,14,5,0,6,0,4,0,11,18,0,0,9,12,9,2,2,2,0,2,0,0,3,3,26,1,2,2,0,0,0,6,2,0,2,96,0,46,2,0,76,2,5,1,320,7,5,1,0,0,0,10,0,4,0,9,4,38,0,3,3,1,0
 Multi Processing ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
 Industry 4 0 ,0,0,0,4,0,0,2,11,0,2,0,0,0,15,1,2,0,0,0,7,3,0,0,11,1,0,1,0,1,2,2,0,0,0,0,1,1,0,0,51,0,10,0,3,3,1,0,0,14,0,6,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,102,8,10,6,1,1,0,0,0,2,0,14,7,2,1,11,0,1,2,4,1,0,61,108,0,1,0,0,48,0,0,0,88,0,3,0,8,0,0,2,0,6,0,1,0,5,0,0,2,0,0
 Monte Carlo ,0,0,0,3,0,2,0,8,0,1,0,0,6,19,0,1,0,0,0,11,6,0,0,24,9,0,2,0,0,0,1,0,8,0,0,3,0,0,0,8,0,9,0,0,5,0,0,0,32,0,15,0,0,6,0,0,1,12,0,2,2,5,0,1,25,0,0,0,4,0,0,18,9,1,4,7,2,0,0,0,5,0,16,5,3,3,0,0,0,0,2,3,0,13,30,0,0,0,0,58,0,4,0,14,0,2,0,2,0,0,16,1,5,0,0,0,4,1,4,0,0,1
 Database ,0,2,0,63,0,11,8,0,2,11,0,3,3,301,3,0,0,0,0,117,87,6,1,90,23,0,9,4,24,1,2,3,10,1,0,9,2,1,2,39,0,6,2,25,4,37,1,1,183,0,214,11,8,2,6,0,3,1,0,8,3,41,2,22,5,3,7,2,30,4,6,64,18,4,32,8,1,5,0,0,16,0,29,37,28,3,2,0,21,36,115,27,1,77,227,0,20,3,0,322,7,1,1,146,0,20,0,1,2,0,10,1,45,1,14,0,86,1,21,4,3,5
 Machine Translation ,0,0,0,0,0,0,0,2,0,0,0,16,0,5,0,0,0,0,0,0,2,2,0,1,0,0,0,0,23,0,0,3,0,0,7,0,0,0,1,0,0,0,0,1,2,5,0,7,14,0,6,0,0,2,0,0,0,0,0,1,0,17,0,12,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,45,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1
 Knowledge Representation ,0,0,0,1,0,2,1,11,0,0,0,0,0,19,0,0,0,0,0,2,3,0,0,1,0,0,0,0,4,1,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,5,0,0,10,0,6,0,0,2,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,2,3,11,0,10,92,0,3,0,0,12,0,0,0,5,0,2,0,1,0,0,0,0,3,0,1,0,7,0,2,0,0,0
 AWS ,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,27,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,0,2,0,3,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 Language Modeling ,0,0,0,0,0,0,0,3,16,0,0,0,0,7,1,0,0,0,0,0,2,3,2,1,1,0,0,0,19,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,5,18,0,17,0,0,0,0,0,0,0,0,1,0,57,0,40,0,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,4,0,0,0,0,6,0,5,1,0,0,43,1,0,0,0,8,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,3
 Supercomputers ,0,0,1,8,4,0,6,3,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,3,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,2,3,0,11,0,6,1,22,0,0,0,0,0,0,56,0,1,0,1,1,2,7,0,0,0,0
 Classification ,0,29,0,44,0,15,19,301,5,19,0,7,5,0,54,3,13,2,0,843,563,76,0,461,135,0,12,7,93,0,50,2,33,7,9,42,0,0,49,44,7,17,11,3,20,42,5,9,891,6,1185,9,52,14,14,0,7,8,0,20,7,207,14,67,22,30,50,1,11,3,37,222,62,9,221,12,14,34,0,0,101,1,200,224,310,20,3,4,99,145,499,40,7,184,948,0,3,6,0,1621,17,10,1,213,1,161,0,10,5,1,16,6,199,8,21,2,226,10,90,15,5,27
