Topic, Multiprocessing , Nearest Neighbors , Autonomou Cars , BD & Cloud Solutions , Multi Processing , Industry 4 0 , Monte Carlo , Database , Machine Translation , Knowledge Representation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Self Supervised Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Sentence Similarity , Regression , Multi-layer perceptron , Cyber Infrastructure , Pose Estimation , Auto Encoder , Deep Neural Netork , NLP , Automated Reasoning , Bert , Unsupervised Learning , Chatbot , Generative Adversarial Network , Audio Classification , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , Kernel Machine , 3D Print , Topic Modeling , RDBMS & SQL , Information Retrieval , Mobile Robots , Dynamic Programming , Encoder Decoder , Deep Learning , Neuromorphic Computing , Data Storage , Convolutional Networks , Automated Question Answering , Image Recognition , Reinforcement Learning , Face Detection , Photonic Computing , Tensor Processing Unit , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Voice Recognition , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Semantic Search , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Humanoid Robots , Gesture Recognition , Data Intensive Computing , Text To Image , Dimensionality Reduction , Dynamic Cloud , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Dew Computing , Text Similarity , Transfer Learning , Object Recognition , Feature Extraction , Expert System , Ensemble Modeling , Robotics , AI , Text Generation , NRDBMS & NoSQL , Hardware Acceleration , Bayesian Machine Learning , Machine Learning , Quantum Computing , AUV , Deep Learningbased , PaaS , Big Data , SaaS , Supervised Learning , Optical Computing , Manipulator , Text Embedding , Deep Neural Net , High Performance Computing , Boltzmann Machine , Computer Vision , Loss Functions , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Entity Recognition , Loss Function 
 Multiprocessing ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Nearest Neighbors ,0,0,0,1,0,0,0,5,0,0,0,0,0,30,0,0,0,0,0,35,20,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,6,1,0,2,0,0,7,0,0,1,2,1,0,0,0,0,0,8,0,0,0,13,0,0,0,0,37,1,0,0,0,4,0,4,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0
 Autonomou Cars ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
 BD & Cloud Solutions ,0,1,0,0,0,10,1,50,1,3,5,2,2,35,0,0,0,0,0,7,11,3,0,14,5,0,0,1,0,7,0,0,4,0,0,0,0,2,11,1,0,67,0,5,2,42,0,1,1,0,20,0,15,15,0,0,3,0,0,0,41,0,8,6,6,2,0,3,1,0,0,7,29,1,1,7,0,6,6,0,0,0,0,0,0,1,0,22,0,2,2,0,0,0,2,1,3,1,3,87,0,27,3,0,70,0,0,0,0,255,0,5,0,0,0,0,14,0,1,1,12,2,23,2,0,0,0,0
 Multi Processing ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Industry 4 0 ,0,0,0,10,0,0,3,20,0,2,1,0,0,27,0,0,0,0,0,3,1,0,0,11,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,55,0,10,0,2,0,5,2,0,24,0,2,11,0,2,2,0,0,0,2,0,0,0,1,4,0,1,5,0,0,0,5,0,0,102,10,11,1,0,2,1,0,0,2,0,13,6,1,0,7,1,0,0,1,5,2,0,71,119,0,0,0,0,41,0,0,0,0,102,1,0,0,15,0,0,0,0,6,0,5,0,4,0,0,3,1,0
 Monte Carlo ,0,0,0,1,0,3,0,10,0,0,0,0,0,15,0,0,0,0,0,12,7,0,0,19,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,4,0,9,0,0,0,1,2,0,31,0,0,21,0,0,13,0,0,0,2,11,0,2,0,7,1,0,15,0,0,0,5,0,0,2,5,3,2,5,0,0,0,0,5,0,4,4,0,0,0,0,0,0,1,0,0,0,4,28,0,0,0,0,72,1,0,0,0,13,0,5,0,2,0,0,0,3,4,0,2,0,2,2,0,4,0,1
 Database ,0,5,0,50,0,20,10,0,0,8,1,0,1,257,3,0,0,0,0,114,90,6,0,116,30,0,6,0,0,22,0,0,9,0,8,0,2,4,5,1,0,29,0,15,0,30,4,1,0,1,207,3,5,177,0,5,5,5,0,0,5,1,1,3,1,54,0,13,7,4,5,0,32,0,3,28,21,2,18,4,0,3,0,1,15,0,29,44,11,4,3,0,0,21,17,65,5,5,83,163,0,17,1,1,362,0,1,1,2,154,2,15,0,5,3,0,3,0,41,1,13,0,98,4,8,1,3,9
 Machine Translation ,0,0,0,1,0,0,0,0,0,0,0,5,0,9,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,21,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
 Knowledge Representation ,0,0,0,3,0,2,0,8,0,0,0,1,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,1,0,13,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,10,0,2,52,0,1,0,0,10,0,0,0,0,7,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0
 AWS ,0,0,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0
