Topic, Multiprocessing , BD & Cloud Solutions , Industry 4 0 , Monte Carlo , Database , Machine Translation , AWS , Language Modeling , Supercomputers , Classification , Semi Supervised Learning , Unmanned Vehicle , Meta Learning , Decentralized Computing , SVM , Trees , Sentiment Analysis , Regression , Multi-layer perceptron , Pose Estimation , Auto Encoder , NLP , Unsupervised Learning , Generative Adversarial Network , Transformers & Attention , Autoencoder , Docker , Grid Computing , Text Classification , Clouds , 3D Print , RDBMS & SQL , Information Retrieval , Dynamic Programming , Image To Text , Encoder Decoder , Deep Learning , Data Storage , Convolutional Networks , Reinforcement Learning , Distributed Computing , Bayesian Inference , Distributed File System , Optimization Algorithm , Parallel Processing , RNN , Fully Connected Layer , Markov , Feature Engineering , Back-propagation , Cluster Computing , Data Center , Boosting , Robots , Genetic Algorithm , Edge Computing , Pattern Recognition , Search Algorithm , Text To Image , Dimensionality Reduction , UAM , Clustering , Image Classification , Statistical Learning , Fog Computing , Transfer Learning , Object Recognition , Feature Extraction , Robotics , AI , NRDBMS & NoSQL , Hardware Acceleration , Machine Learning , PaaS , Big Data , SaaS , Supervised Learning , Text Embedding , High Performance Computing , Computer Vision , Data Science , IaaS , Data Mining , GPU , Image Segmentation , UGV , Loss Function 
 Multiprocessing ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
 BD & Cloud Solutions ,1,0,1,0,11,0,2,1,0,24,0,0,0,0,4,3,2,4,0,0,2,6,0,0,0,1,5,0,0,10,0,14,1,0,0,0,10,11,4,0,15,0,6,2,1,6,0,0,2,1,3,12,1,0,3,0,0,0,0,0,0,15,0,0,0,0,1,4,0,33,6,2,34,0,119,0,1,0,9,0,2,0,7,0,0,0,0
 Industry 4 0 ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0
 Monte Carlo ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
 Database ,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1,1,0,17,1,1,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,6,1,0,3,0,27,0,0,0,2,2,1,0,2,0,0,0,0
 Machine Translation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
 AWS ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 Language Modeling ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 Supercomputers ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
 Classification ,0,24,1,0,4,0,0,0,0,0,0,0,0,0,10,8,3,7,1,0,1,3,0,2,2,0,0,0,1,6,0,0,1,0,0,0,22,1,26,0,2,0,2,1,0,4,0,0,2,0,2,13,0,0,2,2,2,1,0,3,1,7,7,0,0,4,2,10,4,20,1,2,33,0,50,0,1,0,2,3,1,0,9,1,2,1,0
