Topic, Regression , Transformers & Attention , AI , Clouds , Robots , Classification , Big Data , RNN , BD & Cloud Solutions , Machine Learning , Deep Learning , Data Science , Database , Data Mining , Data Center , GPU , Clustering , Parallel Processing 
 Regression ,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 AI ,0,0,0,0,0,0,1,5,3,0,1,0,0,0,0,0,0,0
 Clouds ,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
 Robots ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Classification ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
 Big Data ,3,0,1,1,0,1,0,0,11,3,0,1,2,0,0,2,0,0
 RNN ,0,0,5,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0
 BD & Cloud Solutions ,0,0,3,1,0,0,11,10,0,3,2,1,3,0,0,0,1,0
 Machine Learning ,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,1,0,0
 Deep Learning ,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
 Data Science ,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
 Database ,1,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,1
 Data Mining ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Data Center ,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 GPU ,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
 Clustering ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
 Parallel Processing ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
