Topic, Generative Adversarial Network , Robotics , Transformers & Attention , AI , Fully Connected Layer , RNN , Voice Recognition , Hardware Acceleration , Autoencoder , Machine Learning , Back-propagation , Quantum Computing , AUV , Database , Machine Translation , Knowledge Representation , Semantic Search , Data Center , Robots , Clouds , Supercomputers , Language Modeling , Classification , Big Data , 3D Print , Topic Modeling , Pattern Recognition , Semi Supervised Learning , Edge Computing , Humanoid Robots , Supervised Learning , Unmanned Vehicle , Information Retrieval , Mobile Robots , Gesture Recognition , Manipulator , Dimensionality Reduction , High Performance Computing , Boltzmann Machine , Computer Vision , Dynamic Cloud , Deep Learning , UAM , SVM , Neuromorphic Computing , Convolutional Networks , Clustering , Data Science , Data Storage , Data Mining , Image Classification , Image Recognition , GPU , Statistical Learning , Image Segmentation , UGV , Fog Computing , Regression , Reinforcement Learning , Face Detection , Pose Estimation , Auto Encoder , Transfer Learning , NLP , Object Recognition , Feature Extraction , Expert System , Bayesian Inference , Loss Function , Unsupervised Learning , Chatbot , Parallel Processing 
 Generative Adversarial Network ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robotics ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,301,2,0,0,0,0,1,0,0,0,0,0,0,14,0,6,0,24,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 Transformers & Attention ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AI ,0,1,0,0,0,0,1,0,0,11,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,0,3,1,1,0,0,0,1,0,0
 Fully Connected Layer ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 RNN ,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Voice Recognition ,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 Hardware Acceleration ,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Autoencoder ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Machine Learning ,0,1,0,11,0,0,1,2,1,0,0,3,0,4,0,0,0,0,5,1,0,0,24,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,15,0,2,0,3,4,0,0,0,0,1,1,0,0,1,0,2,2,0,0,2,0,6,4,2,0,0,0,6,0,0
 Back-propagation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Quantum Computing ,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 AUV ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Database ,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,1,1,4,3,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
 Machine Translation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Knowledge Representation ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Semantic Search ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Data Center ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Robots ,0,301,0,2,0,0,2,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,24,4,8,0,70,0,35,1,0,0,2,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0
