topic,count,proportion,citations
Classification,77,0.08369565217391305,1969
AI,72,0.0782608695652174,1027
Machine Learning,67,0.07282608695652174,1322
Deep Learning,51,0.05543478260869565,508
Robots,48,0.05217391304347826,893
Convolutional Networks,38,0.041304347826086954,122
SVM,37,0.04021739130434782,403
Big Data,36,0.0391304347826087,738
Pattern Recognition,31,0.03369565217391304,3704
Robotics,28,0.030434782608695653,655
Regression,27,0.029347826086956522,323
Computer Vision,26,0.02826086956521739,853
Clouds,26,0.02826086956521739,235
3D Print,22,0.02391304347826087,134
Image Classification,22,0.02391304347826087,411
Trees,20,0.021739130434782608,95
Database,19,0.020652173913043477,723
Feature Extraction,18,0.01956521739130435,349
Data Mining,18,0.01956521739130435,980
Object Recognition,17,0.01847826086956522,409
RNN,15,0.016304347826086956,38
UAM,14,0.015217391304347827,84
Clustering,12,0.013043478260869565,204
Image Segmentation,10,0.010869565217391304,162
Manipulator,10,0.010869565217391304,35
Reinforcement Learning,9,0.009782608695652175,82
Pose Estimation,8,0.008695652173913044,469
Quantum Computing,8,0.008695652173913044,633
Data Center,7,0.007608695652173913,5
Dimensionality Reduction,7,0.007608695652173913,21
Monte Carlo,6,0.006521739130434782,495
Genetic Algorithm,6,0.006521739130434782,62
BD & Cloud Solutions,6,0.006521739130434782,12
Industry 4 0,5,0.005434782608695652,27
Edge Computing,5,0.005434782608695652,17
Multi-layer perceptron,5,0.005434782608695652,65
Knowledge Representation,5,0.005434782608695652,35
High Performance Computing,4,0.004347826086956522,34
Information Retrieval,4,0.004347826086956522,77
Mobile Robots,4,0.004347826086956522,67
Autoencoder,3,0.003260869565217391,22
Supercomputers,3,0.003260869565217391,27
Humanoid Robots,3,0.003260869565217391,2
Voice Recognition,3,0.003260869565217391,4
Dynamic Programming,3,0.003260869565217391,64
Markov,3,0.003260869565217391,5
Search Algorithm,3,0.003260869565217391,41
Parallel Processing,3,0.003260869565217391,159
Optimization Algorithm,3,0.003260869565217391,20
Generative Adversarial Network,3,0.003260869565217391,2
Feature Engineering,2,0.002173913043478261,13
Gesture Recognition,2,0.002173913043478261,41
Data Science,2,0.002173913043478261,50
Transformers & Attention,2,0.002173913043478261,0
Image Recognition,2,0.002173913043478261,5
Unsupervised Learning,2,0.002173913043478261,22
Bayesian Inference,2,0.002173913043478261,4
Transfer Learning,2,0.002173913043478261,6
Expert System,2,0.002173913043478261,16
UGV,2,0.002173913043478261,6
Semi Supervised Learning,2,0.002173913043478261,2
Distributed Computing,1,0.0010869565217391304,26
Back-propagation,1,0.0010869565217391304,40
Language Modeling,1,0.0010869565217391304,19
Machine Translation,1,0.0010869565217391304,19
Automated Reasoning,1,0.0010869565217391304,3
Fully Connected Layer,1,0.0010869565217391304,6
Boosting,1,0.0010869565217391304,0
Fog Computing,1,0.0010869565217391304,0
Neuromorphic Computing,1,0.0010869565217391304,13
Loss Function,1,0.0010869565217391304,0
Loss Functions,1,0.0010869565217391304,0
Nearest Neighbors,1,0.0010869565217391304,40
Topic Modeling,1,0.0010869565217391304,0
Cluster Computing,1,0.0010869565217391304,1
Kernel Machine,1,0.0010869565217391304,7
Docker,1,0.0010869565217391304,2
Supervised Learning,1,0.0010869565217391304,2
Hardware Acceleration,1,0.0010869565217391304,0
