topic,count,proportion,citations
Robots,197,0.3012232415902141,1238
Robotics,127,0.19418960244648317,945
AI,107,0.1636085626911315,862
Manipulator,26,0.039755351681957186,138
Machine Learning,16,0.024464831804281346,382
Mobile Robots,16,0.024464831804281346,83
Object Recognition,15,0.022935779816513763,79
Computer Vision,11,0.016819571865443424,6
Pose Estimation,10,0.01529051987767584,51
UGV,10,0.01529051987767584,16
Humanoid Robots,9,0.013761467889908258,142
Classification,8,0.012232415902140673,200
Reinforcement Learning,7,0.010703363914373088,2
RNN,7,0.010703363914373088,70
SVM,6,0.009174311926605505,83
Unsupervised Learning,5,0.00764525993883792,21
Regression,5,0.00764525993883792,184
Deep Learning,5,0.00764525993883792,7
Gesture Recognition,4,0.0061162079510703364,3
Feature Extraction,4,0.0061162079510703364,24
Supercomputers,4,0.0061162079510703364,158
Search Algorithm,3,0.0045871559633027525,13
High Performance Computing,3,0.0045871559633027525,26
Data Mining,3,0.0045871559633027525,13
Monte Carlo,3,0.0045871559633027525,23
Database,2,0.0030581039755351682,37
Supervised Learning,2,0.0030581039755351682,40
Data Storage,2,0.0030581039755351682,28
Big Data,2,0.0030581039755351682,27
Industry 4 0,2,0.0030581039755351682,0
Neuromorphic Computing,2,0.0030581039755351682,2
Convolutional Networks,2,0.0030581039755351682,1
Voice Recognition,2,0.0030581039755351682,1
Clouds,2,0.0030581039755351682,2
Multi-layer perceptron,2,0.0030581039755351682,17
Boosting,2,0.0030581039755351682,184
Parallel Processing,2,0.0030581039755351682,0
Trees,2,0.0030581039755351682,4
Clustering,2,0.0030581039755351682,4
Text Classification,2,0.0030581039755351682,183
Loss Functions,1,0.0015290519877675841,183
Transformers & Attention,1,0.0015290519877675841,0
Expert System,1,0.0015290519877675841,0
NLP,1,0.0015290519877675841,0
Unmanned Vehicle,1,0.0015290519877675841,0
Knowledge Representation,1,0.0015290519877675841,1
Autoencoder,1,0.0015290519877675841,0
Back-propagation,1,0.0015290519877675841,3
Markov,1,0.0015290519877675841,0
Self Supervised Learning,1,0.0015290519877675841,10
Bayesian Inference,1,0.0015290519877675841,0
Feature Engineering,1,0.0015290519877675841,14
Pattern Recognition,1,0.0015290519877675841,3
