topic,count,proportion,citations
RNN,127,0.13925438596491227,799
AI,108,0.11842105263157894,1850
Classification,97,0.10635964912280702,1219
Database,71,0.07785087719298246,910
Voice Recognition,63,0.06907894736842106,782
Deep Learning,52,0.05701754385964912,481
Machine Learning,50,0.05482456140350877,424
Feature Extraction,50,0.05482456140350877,690
SVM,46,0.05043859649122807,396
Convolutional Networks,38,0.041666666666666664,185
Regression,23,0.025219298245614034,300
Robots,19,0.020833333333333332,275
Sentiment Analysis,18,0.019736842105263157,697
Information Retrieval,13,0.01425438596491228,101
Transfer Learning,13,0.01425438596491228,281
Autoencoder,9,0.009868421052631578,190
Supervised Learning,7,0.007675438596491228,120
Semi Supervised Learning,7,0.007675438596491228,104
Fully Connected Layer,6,0.006578947368421052,79
Big Data,6,0.006578947368421052,25
Pattern Recognition,6,0.006578947368421052,51
Trees,6,0.006578947368421052,49
Computer Vision,5,0.005482456140350877,57
Image Classification,5,0.005482456140350877,82
GPU,4,0.0043859649122807015,87
Multi-layer perceptron,4,0.0043859649122807015,7
Robotics,4,0.0043859649122807015,9
Supercomputers,3,0.003289473684210526,45
High Performance Computing,3,0.003289473684210526,23
Transformers & Attention,3,0.003289473684210526,0
Feature Engineering,3,0.003289473684210526,45
Humanoid Robots,3,0.003289473684210526,9
Language Modeling,3,0.003289473684210526,43
Clustering,3,0.003289473684210526,5
Audio Classification,2,0.0021929824561403508,21
Grid Computing,2,0.0021929824561403508,28
Object Recognition,2,0.0021929824561403508,1
Face Detection,2,0.0021929824561403508,18
Unsupervised Learning,2,0.0021929824561403508,4
Auto Encoder,2,0.0021929824561403508,16
Generative Adversarial Network,2,0.0021929824561403508,12
Data Mining,2,0.0021929824561403508,24
Nearest Neighbors,2,0.0021929824561403508,12
NLP,1,0.0010964912280701754,12
BD & Cloud Solutions,1,0.0010964912280701754,0
Image Recognition,1,0.0010964912280701754,41
Pose Estimation,1,0.0010964912280701754,8
Kernel Machine,1,0.0010964912280701754,11
Parallel Processing,1,0.0010964912280701754,14
Loss Function,1,0.0010964912280701754,1
Image Segmentation,1,0.0010964912280701754,0
Text Embedding,1,0.0010964912280701754,0
Statistical Learning,1,0.0010964912280701754,2
Loss Functions,1,0.0010964912280701754,1
Genetic Algorithm,1,0.0010964912280701754,0
Gesture Recognition,1,0.0010964912280701754,9
Dimensionality Reduction,1,0.0010964912280701754,16
Back-propagation,1,0.0010964912280701754,17
UAM,1,0.0010964912280701754,1
