topic,count,proportion,citations
AI,116,0.19205298013245034,2321
Classification,82,0.1357615894039735,1787
Clustering,72,0.11920529801324503,1634
Machine Learning,51,0.08443708609271523,1078
Pattern Recognition,37,0.061258278145695365,1079
Genetic Algorithm,36,0.059602649006622516,644
Data Mining,29,0.048013245033112585,554
Multi-layer perceptron,27,0.04470198675496689,157
Regression,21,0.0347682119205298,348
SVM,14,0.023178807947019868,184
Database,13,0.02152317880794702,344
Unsupervised Learning,13,0.02152317880794702,285
Knowledge Representation,10,0.016556291390728478,172
Dimensionality Reduction,9,0.014900662251655629,199
Feature Extraction,8,0.013245033112582781,346
Big Data,8,0.013245033112582781,88
Statistical Learning,7,0.011589403973509934,51
Back-propagation,4,0.006622516556291391,52
UAM,3,0.004966887417218543,23
Information Retrieval,3,0.004966887417218543,93
Image Classification,3,0.004966887417218543,54
Expert System,3,0.004966887417218543,47
Supervised Learning,3,0.004966887417218543,59
Deep Learning,3,0.004966887417218543,14
Autoencoder,2,0.0033112582781456954,0
Image Segmentation,2,0.0033112582781456954,10
Object Recognition,2,0.0033112582781456954,33
Unmanned Vehicle,2,0.0033112582781456954,7
Boltzmann Machine,2,0.0033112582781456954,24
Reinforcement Learning,2,0.0033112582781456954,100
Semi Supervised Learning,2,0.0033112582781456954,37
Optimization Algorithm,2,0.0033112582781456954,31
Text Classification,1,0.0016556291390728477,0
Clouds,1,0.0016556291390728477,4
Kernel Machine,1,0.0016556291390728477,85
Pose Estimation,1,0.0016556291390728477,21
Boosting,1,0.0016556291390728477,15
Trees,1,0.0016556291390728477,0
BD & Cloud Solutions,1,0.0016556291390728477,31
Image Recognition,1,0.0016556291390728477,0
Computer Vision,1,0.0016556291390728477,1
Dynamic Programming,1,0.0016556291390728477,25
Markov,1,0.0016556291390728477,25
Convolutional Networks,1,0.0016556291390728477,18
Face Detection,1,0.0016556291390728477,44
