topic,count,proportion,citations
Robots,206,0.302496328928047,4063
Humanoid Robots,147,0.21585903083700442,3112
Robotics,143,0.20998531571218795,2981
AI,98,0.14390602055800295,1822
Object Recognition,12,0.01762114537444934,181
Deep Learning,11,0.016152716593245228,33
Machine Learning,9,0.013215859030837005,73
Voice Recognition,8,0.011747430249632892,78
Regression,6,0.00881057268722467,89
Manipulator,6,0.00881057268722467,108
Classification,6,0.00881057268722467,49
Computer Vision,5,0.007342143906020558,43
SVM,4,0.005873715124816446,35
Reinforcement Learning,3,0.004405286343612335,7
Unsupervised Learning,2,0.002936857562408223,8
Autoencoder,2,0.002936857562408223,19
Supervised Learning,1,0.0014684287812041115,16
Genetic Algorithm,1,0.0014684287812041115,9
Kernel Machine,1,0.0014684287812041115,9
3D Print,1,0.0014684287812041115,0
Statistical Learning,1,0.0014684287812041115,4
Multi-layer perceptron,1,0.0014684287812041115,5
Clustering,1,0.0014684287812041115,16
Face Detection,1,0.0014684287812041115,14
Auto Encoder,1,0.0014684287812041115,3
Gesture Recognition,1,0.0014684287812041115,2
Feature Extraction,1,0.0014684287812041115,11
Database,1,0.0014684287812041115,11
Mobile Robots,1,0.0014684287812041115,9
