topic,count,proportion,citations
Robots,183,0.38445378151260506,5584
Robotics,162,0.3403361344537815,2878
AI,56,0.11764705882352941,1444
Manipulator,18,0.037815126050420166,263
Humanoid Robots,14,0.029411764705882353,109
Mobile Robots,14,0.029411764705882353,220
Pattern Recognition,5,0.01050420168067227,127
Dimensionality Reduction,5,0.01050420168067227,32
Classification,4,0.008403361344537815,526
Deep Learning,4,0.008403361344537815,0
Multi-layer perceptron,2,0.004201680672268907,0
RNN,2,0.004201680672268907,0
Dynamic Programming,1,0.0021008403361344537,0
Computer Vision,1,0.0021008403361344537,3
Database,1,0.0021008403361344537,23
Regression,1,0.0021008403361344537,4
Gesture Recognition,1,0.0021008403361344537,0
Convolutional Networks,1,0.0021008403361344537,0
UGV,1,0.0021008403361344537,0
