topic,count,proportion,citations
Classification,123,0.2003257328990228,1122
AI,110,0.1791530944625407,867
Machine Learning,85,0.13843648208469056,647
Pattern Recognition,49,0.07980456026058631,549
Big Data,23,0.03745928338762215,173
Feature Extraction,20,0.03257328990228013,143
SVM,19,0.030944625407166124,114
Convolutional Networks,15,0.024429967426710098,27
Data Mining,14,0.02280130293159609,319
Computer Vision,12,0.019543973941368076,20
Clustering,11,0.017915309446254073,95
Object Recognition,11,0.017915309446254073,113
Clouds,10,0.016286644951140065,43
Genetic Algorithm,10,0.016286644951140065,56
Image Segmentation,8,0.013029315960912053,12
Image Classification,7,0.011400651465798045,12
Distributed Computing,6,0.009771986970684038,47
Nearest Neighbors,5,0.008143322475570033,48
Deep Learning,5,0.008143322475570033,14
UAM,5,0.008143322475570033,11
BD & Cloud Solutions,5,0.008143322475570033,73
Back-propagation,4,0.006514657980456026,42
Search Algorithm,4,0.006514657980456026,42
Unsupervised Learning,4,0.006514657980456026,30
Robotics,3,0.004885993485342019,0
Regression,3,0.004885993485342019,160
RNN,3,0.004885993485342019,2
Markov,3,0.004885993485342019,16
Dimensionality Reduction,3,0.004885993485342019,1
Supervised Learning,3,0.004885993485342019,179
Grid Computing,2,0.003257328990228013,32
Robots,2,0.003257328990228013,7
Voice Recognition,2,0.003257328990228013,4
Database,2,0.003257328990228013,5
Information Retrieval,2,0.003257328990228013,5
Sentiment Analysis,2,0.003257328990228013,2
Gesture Recognition,2,0.003257328990228013,2
NLP,2,0.003257328990228013,0
Image Recognition,1,0.0016286644951140066,1
Ensemble Modeling,1,0.0016286644951140066,1
3D Print,1,0.0016286644951140066,2
Machine Translation,1,0.0016286644951140066,0
Semantic Search,1,0.0016286644951140066,0
Data Center,1,0.0016286644951140066,1
Text Classification,1,0.0016286644951140066,5
Trees,1,0.0016286644951140066,0
Multi-layer perceptron,1,0.0016286644951140066,3
Data Science,1,0.0016286644951140066,1
Data Storage,1,0.0016286644951140066,2
Semi Supervised Learning,1,0.0016286644951140066,157
GPU,1,0.0016286644951140066,4
Statistical Learning,1,0.0016286644951140066,1
Manipulator,1,0.0016286644951140066,1
