topic,count,proportion,citations
Classification,106,0.11336898395721925,1264
AI,105,0.11229946524064172,1240
Machine Learning,81,0.08663101604278074,655
Robots,49,0.052406417112299465,314
SVM,38,0.040641711229946524,165
Big Data,32,0.034224598930481284,244
Data Mining,32,0.034224598930481284,689
Clustering,27,0.028877005347593583,226
Pattern Recognition,26,0.027807486631016044,3990
Convolutional Networks,25,0.026737967914438502,61
Feature Extraction,24,0.025668449197860963,136
Robotics,23,0.02459893048128342,306
Regression,21,0.022459893048128343,71
Deep Learning,21,0.022459893048128343,81
Clouds,19,0.020320855614973262,275
Computer Vision,18,0.019251336898395723,434
Trees,14,0.014973262032085561,29
Information Retrieval,13,0.013903743315508022,195
RNN,12,0.012834224598930482,9
Genetic Algorithm,12,0.012834224598930482,98
Object Recognition,11,0.011764705882352941,29
NLP,11,0.011764705882352941,31
Image Segmentation,10,0.0106951871657754,45
Nearest Neighbors,10,0.0106951871657754,139
Data Center,9,0.009625668449197862,49
Database,9,0.009625668449197862,79
Multi-layer perceptron,9,0.009625668449197862,37
BD & Cloud Solutions,9,0.009625668449197862,97
3D Print,9,0.009625668449197862,132
Sentiment Analysis,8,0.008556149732620321,145
UAM,7,0.0074866310160427805,5
Quantum Computing,7,0.0074866310160427805,366
Monte Carlo,7,0.0074866310160427805,153
High Performance Computing,6,0.006417112299465241,112
Text Classification,6,0.006417112299465241,23
Expert System,6,0.006417112299465241,480
Unsupervised Learning,6,0.006417112299465241,10
Knowledge Representation,6,0.006417112299465241,580
Image Classification,5,0.0053475935828877,173
Manipulator,5,0.0053475935828877,137
UGV,5,0.0053475935828877,9
Back-propagation,4,0.0042780748663101605,31
GPU,4,0.0042780748663101605,26
Fog Computing,4,0.0042780748663101605,38
Generative Adversarial Network,4,0.0042780748663101605,5
Supervised Learning,4,0.0042780748663101605,32
Dynamic Cloud,3,0.0032085561497326204,25
Language Modeling,3,0.0032085561497326204,7
Semi Supervised Learning,3,0.0032085561497326204,26
Voice Recognition,3,0.0032085561497326204,26
Data Storage,3,0.0032085561497326204,112
Semantic Search,2,0.0021390374331550803,45
Distributed Computing,2,0.0021390374331550803,19
Feature Engineering,2,0.0021390374331550803,3
Automated Reasoning,2,0.0021390374331550803,10
Reinforcement Learning,2,0.0021390374331550803,14
Dynamic Programming,2,0.0021390374331550803,39
Dimensionality Reduction,2,0.0021390374331550803,3
Industry 4 0,2,0.0021390374331550803,4
AUV,2,0.0021390374331550803,0
Humanoid Robots,2,0.0021390374331550803,10
Statistical Learning,2,0.0021390374331550803,22
Loss Function,1,0.0010695187165775401,1
Transfer Learning,1,0.0010695187165775401,0
Search Algorithm,1,0.0010695187165775401,18
Hardware Acceleration,1,0.0010695187165775401,3
Optimization Algorithm,1,0.0010695187165775401,3
Edge Computing,1,0.0010695187165775401,1
Pose Estimation,1,0.0010695187165775401,14
Mobile Robots,1,0.0010695187165775401,1
Transformers & Attention,1,0.0010695187165775401,0
Auto Encoder,1,0.0010695187165775401,5
Autoencoder,1,0.0010695187165775401,10
Text Embedding,1,0.0010695187165775401,3
Image Recognition,1,0.0010695187165775401,0
Boosting,1,0.0010695187165775401,0
Data Science,1,0.0010695187165775401,4
Bayesian Machine Learning,1,0.0010695187165775401,0
Parallel Processing,1,0.0010695187165775401,0
Markov,1,0.0010695187165775401,0
Entity Recognition,1,0.0010695187165775401,0
