topic,count,proportion,citations
Robots,249,0.4115702479338843,2299
AI,117,0.1933884297520661,1401
Robotics,91,0.15041322314049588,1099
Mobile Robots,25,0.04132231404958678,503
Knowledge Representation,18,0.02975206611570248,520
Classification,17,0.02809917355371901,230
Object Recognition,13,0.021487603305785124,110
Database,11,0.01818181818181818,73
Humanoid Robots,10,0.01652892561983471,108
Computer Vision,9,0.01487603305785124,62
Manipulator,5,0.008264462809917356,62
Machine Learning,4,0.006611570247933884,59
Pose Estimation,4,0.006611570247933884,45
Image Segmentation,3,0.0049586776859504135,54
Big Data,2,0.003305785123966942,4
Regression,2,0.003305785123966942,12
Markov,2,0.003305785123966942,234
SVM,2,0.003305785123966942,0
Feature Extraction,2,0.003305785123966942,6
Reinforcement Learning,2,0.003305785123966942,1
Clustering,2,0.003305785123966942,17
Image Classification,1,0.001652892561983471,0
Deep Learning,1,0.001652892561983471,1
Automated Reasoning,1,0.001652892561983471,13
Pattern Recognition,1,0.001652892561983471,17
Supervised Learning,1,0.001652892561983471,0
Unsupervised Learning,1,0.001652892561983471,0
NRDBMS & NoSQL,1,0.001652892561983471,4
Voice Recognition,1,0.001652892561983471,8
Image Recognition,1,0.001652892561983471,0
Dimensionality Reduction,1,0.001652892561983471,0
Trees,1,0.001652892561983471,4
Nearest Neighbors,1,0.001652892561983471,0
Data Mining,1,0.001652892561983471,1
Monte Carlo,1,0.001652892561983471,0
RDBMS & SQL,1,0.001652892561983471,0
