topic,count,proportion,citations
AI,70,0.09735744089012517,912
Classification,55,0.07649513212795549,1321
Robots,53,0.0737134909596662,399
Machine Learning,35,0.048678720445062586,224
Convolutional Networks,29,0.04033379694019471,351
Big Data,26,0.03616133518776078,346
Deep Learning,26,0.03616133518776078,137
Clouds,25,0.03477051460361613,518
Robotics,24,0.03337969401947149,404
Feature Extraction,21,0.02920723226703755,631
Regression,21,0.02920723226703755,426
Pattern Recognition,20,0.027816411682892908,5123
Data Center,20,0.027816411682892908,245
Database,19,0.02642559109874826,322
SVM,18,0.025034770514603615,232
Mobile Robots,17,0.02364394993045897,98
Data Mining,14,0.019471488178025034,111
Object Recognition,14,0.019471488178025034,437
Image Classification,11,0.015299026425591099,463
Genetic Algorithm,11,0.015299026425591099,52
Monte Carlo,11,0.015299026425591099,582
UAM,10,0.013908205841446454,29
AUV,9,0.012517385257301807,63
Clustering,9,0.012517385257301807,168
Quantum Computing,8,0.011126564673157162,232
Computer Vision,7,0.009735744089012517,200
Manipulator,7,0.009735744089012517,40
BD & Cloud Solutions,7,0.009735744089012517,10
Trees,6,0.008344923504867872,29
Supercomputers,6,0.008344923504867872,52
Dimensionality Reduction,6,0.008344923504867872,158
Markov,6,0.008344923504867872,83
Information Retrieval,6,0.008344923504867872,29
Image Segmentation,5,0.006954102920723227,78
Expert System,5,0.006954102920723227,180
3D Print,5,0.006954102920723227,31
Knowledge Representation,4,0.005563282336578581,79
Search Algorithm,4,0.005563282336578581,9
NLP,4,0.005563282336578581,14
Generative Adversarial Network,4,0.005563282336578581,0
Neuromorphic Computing,3,0.004172461752433936,3
Voice Recognition,3,0.004172461752433936,3
Supervised Learning,3,0.004172461752433936,45
Multi-layer perceptron,3,0.004172461752433936,86
Pose Estimation,3,0.004172461752433936,102
Back-propagation,3,0.004172461752433936,31
Semi Supervised Learning,3,0.004172461752433936,32
Reinforcement Learning,2,0.0027816411682892906,2
High Performance Computing,2,0.0027816411682892906,73
Semantic Search,2,0.0027816411682892906,2
Autoencoder,2,0.0027816411682892906,11
Unsupervised Learning,2,0.0027816411682892906,15
Humanoid Robots,2,0.0027816411682892906,2
Language Modeling,2,0.0027816411682892906,3
Gesture Recognition,2,0.0027816411682892906,7
Image Recognition,2,0.0027816411682892906,0
Distributed Computing,2,0.0027816411682892906,72
Sentiment Analysis,2,0.0027816411682892906,6
RNN,2,0.0027816411682892906,3
Transfer Learning,2,0.0027816411682892906,1
Loss Function,2,0.0027816411682892906,0
Feature Engineering,1,0.0013908205841446453,36
Dynamic Cloud,1,0.0013908205841446453,9
Bayesian Inference,1,0.0013908205841446453,112
GPU,1,0.0013908205841446453,5
Data Storage,1,0.0013908205841446453,3
Nearest Neighbors,1,0.0013908205841446453,0
Edge Computing,1,0.0013908205841446453,0
Boosting,1,0.0013908205841446453,3
Ensemble Modeling,1,0.0013908205841446453,1
Text Classification,1,0.0013908205841446453,1
Data Science,1,0.0013908205841446453,0
Hardware Acceleration,1,0.0013908205841446453,2
