topic,count,proportion,citations
Robots,178,0.4405940594059406,3709
Robotics,171,0.42326732673267325,3827
AI,19,0.04702970297029703,253
Classification,10,0.024752475247524754,352
Machine Learning,8,0.019801980198019802,49
Manipulator,4,0.009900990099009901,68
Deep Learning,3,0.007425742574257425,3
Database,2,0.0049504950495049506,32
Humanoid Robots,2,0.0049504950495049506,7
Pattern Recognition,2,0.0049504950495049506,74
Trees,2,0.0049504950495049506,4
Reinforcement Learning,1,0.0024752475247524753,8
Dimensionality Reduction,1,0.0024752475247524753,6
SVM,1,0.0024752475247524753,1
