topic,count,proportion,citations
AI,129,0.1447811447811448,1311
Robots,71,0.07968574635241302,1247
Robotics,71,0.07968574635241302,690
Classification,59,0.06621773288439955,662
Machine Learning,42,0.04713804713804714,544
Mobile Robots,40,0.04489337822671156,1038
Computer Vision,29,0.03254769921436588,293
Voice Recognition,26,0.029180695847362513,70
Pattern Recognition,25,0.028058361391694726,4709
SVM,24,0.026936026936026935,181
Deep Learning,24,0.026936026936026935,113
Regression,24,0.026936026936026935,692
Object Recognition,23,0.025813692480359147,332
Clustering,22,0.024691358024691357,215
Database,22,0.024691358024691357,185
Feature Extraction,20,0.02244668911335578,111
Data Mining,18,0.020202020202020204,78
Convolutional Networks,15,0.016835016835016835,66
3D Print,14,0.015712682379349047,52
Trees,12,0.013468013468013467,63
AUV,12,0.013468013468013467,29
Pose Estimation,9,0.010101010101010102,83
Genetic Algorithm,9,0.010101010101010102,75
Face Detection,8,0.008978675645342313,108
UAM,8,0.008978675645342313,2
Big Data,8,0.008978675645342313,10
Dimensionality Reduction,8,0.008978675645342313,206
Clouds,8,0.008978675645342313,48
Gesture Recognition,7,0.007856341189674524,98
Data Center,7,0.007856341189674524,72
Expert System,7,0.007856341189674524,1
Image Segmentation,6,0.006734006734006734,76
High Performance Computing,5,0.005611672278338945,32
Supervised Learning,4,0.004489337822671156,9
Monte Carlo,4,0.004489337822671156,392
Information Retrieval,4,0.004489337822671156,6
Image Classification,4,0.004489337822671156,99
Supercomputers,4,0.004489337822671156,48
Data Science,3,0.003367003367003367,0
Nearest Neighbors,3,0.003367003367003367,3
Reinforcement Learning,3,0.003367003367003367,177
Humanoid Robots,3,0.003367003367003367,36
Machine Translation,3,0.003367003367003367,1
Transformers & Attention,3,0.003367003367003367,29
Knowledge Representation,3,0.003367003367003367,244
RNN,3,0.003367003367003367,12
Autoencoder,2,0.002244668911335578,0
Data Storage,2,0.002244668911335578,0
Loss Functions,2,0.002244668911335578,3
Loss Function,2,0.002244668911335578,3
Multi-layer perceptron,2,0.002244668911335578,1
Bayesian Inference,2,0.002244668911335578,110
Unsupervised Learning,2,0.002244668911335578,8
GPU,2,0.002244668911335578,23
BD & Cloud Solutions,2,0.002244668911335578,19
Dynamic Programming,2,0.002244668911335578,62
NLP,2,0.002244668911335578,1
UGV,1,0.001122334455667789,1
Quantum Computing,1,0.001122334455667789,69
Language Modeling,1,0.001122334455667789,2
Semantic Search,1,0.001122334455667789,1
Text Classification,1,0.001122334455667789,2
Image Recognition,1,0.001122334455667789,28
Boosting,1,0.001122334455667789,1
Manipulator,1,0.001122334455667789,12
Statistical Learning,1,0.001122334455667789,7
Back-propagation,1,0.001122334455667789,0
Sentiment Analysis,1,0.001122334455667789,0
Grid Computing,1,0.001122334455667789,10
Distributed Computing,1,0.001122334455667789,10
