topic,count,proportion,citations
Computer Vision,171,0.33661417322834647,8578
Regression,86,0.16929133858267717,4012
Classification,72,0.14173228346456693,4439
SVM,67,0.13188976377952755,1753
Genetic Algorithm,24,0.047244094488188976,1219
Dimensionality Reduction,23,0.045275590551181105,1122
Pattern Recognition,11,0.021653543307086614,757
Feature Extraction,9,0.017716535433070866,516
Image Segmentation,9,0.017716535433070866,880
Back-propagation,9,0.017716535433070866,134
Data Mining,5,0.00984251968503937,179
Machine Learning,4,0.007874015748031496,199
Clustering,3,0.005905511811023622,133
Multi-layer perceptron,3,0.005905511811023622,25
Convolutional Networks,3,0.005905511811023622,3
AI,2,0.003937007874015748,294
Trees,2,0.003937007874015748,54
Image Classification,2,0.003937007874015748,39
Statistical Learning,1,0.001968503937007874,191
Unsupervised Learning,1,0.001968503937007874,30
Monte Carlo,1,0.001968503937007874,9
