topic,count,proportion,citations
Robots,369,0.36,6932
Robotics,168,0.16390243902439025,2888
AI,164,0.16,5724
Mobile Robots,100,0.0975609756097561,2159
UAM,55,0.05365853658536585,767
Classification,23,0.0224390243902439,441
Computer Vision,17,0.016585365853658537,1710
Pose Estimation,15,0.014634146341463415,836
Reinforcement Learning,14,0.013658536585365854,103
Object Recognition,11,0.010731707317073172,158
Feature Extraction,10,0.00975609756097561,312
Manipulator,9,0.00878048780487805,74
UGV,9,0.00878048780487805,33
Machine Learning,7,0.006829268292682927,46
Clustering,7,0.006829268292682927,127
Deep Learning,4,0.003902439024390244,13
Regression,4,0.003902439024390244,39
Voice Recognition,4,0.003902439024390244,47
Convolutional Networks,4,0.003902439024390244,26
Search Algorithm,2,0.001951219512195122,52
Information Retrieval,2,0.001951219512195122,10
Trees,2,0.001951219512195122,4
Database,2,0.001951219512195122,17
RNN,2,0.001951219512195122,21
Distributed Computing,2,0.001951219512195122,15
Monte Carlo,2,0.001951219512195122,71
SVM,2,0.001951219512195122,7
Optimization Algorithm,1,0.000975609756097561,32
GPU,1,0.000975609756097561,26
Bayesian Inference,1,0.000975609756097561,49
Loss Function,1,0.000975609756097561,7
Generative Adversarial Network,1,0.000975609756097561,0
3D Print,1,0.000975609756097561,0
Supercomputers,1,0.000975609756097561,2
Encoder Decoder,1,0.000975609756097561,26
Humanoid Robots,1,0.000975609756097561,7
SaaS,1,0.000975609756097561,7
Data Center,1,0.000975609756097561,7
Markov,1,0.000975609756097561,9
Supervised Learning,1,0.000975609756097561,30
Pattern Recognition,1,0.000975609756097561,0
AUV,1,0.000975609756097561,2
