topic,count,proportion,citations
Robots,208,0.4135188866799205,2519
Humanoid Robots,89,0.17693836978131214,643
Robotics,84,0.16699801192842942,1138
AI,70,0.13916500994035785,920
Manipulator,22,0.0437375745526839,429
Convolutional Networks,9,0.017892644135188866,36
Reinforcement Learning,3,0.005964214711729622,40
Clouds,2,0.003976143141153081,0
Encoder Decoder,2,0.003976143141153081,28
SVM,2,0.003976143141153081,11
Machine Learning,2,0.003976143141153081,70
Pose Estimation,1,0.0019880715705765406,5
Regression,1,0.0019880715705765406,59
3D Print,1,0.0019880715705765406,9
Object Recognition,1,0.0019880715705765406,5
AWS,1,0.0019880715705765406,0
Mobile Robots,1,0.0019880715705765406,0
Voice Recognition,1,0.0019880715705765406,2
RNN,1,0.0019880715705765406,0
Feature Extraction,1,0.0019880715705765406,0
Dimensionality Reduction,1,0.0019880715705765406,30
