topic,count,proportion,citations
Classification,61,0.07870967741935483,1105
AI,50,0.06451612903225806,718
Machine Learning,49,0.06322580645161291,1331
Convolutional Networks,36,0.04645161290322581,747
Big Data,35,0.04516129032258064,370
Deep Learning,34,0.04387096774193548,745
Robots,34,0.04387096774193548,397
Pattern Recognition,31,0.04,5610
Clouds,28,0.03612903225806452,279
Data Center,27,0.03483870967741935,867
Regression,26,0.03354838709677419,445
Robotics,25,0.03225806451612903,302
SVM,23,0.02967741935483871,358
Database,19,0.024516129032258065,149
Data Mining,18,0.023225806451612905,235
Clustering,17,0.02193548387096774,388
Back-propagation,14,0.01806451612903226,124
Object Recognition,13,0.016774193548387096,664
Trees,13,0.016774193548387096,204
Expert System,11,0.014193548387096775,846
3D Print,11,0.014193548387096775,206
Manipulator,10,0.012903225806451613,500
RNN,9,0.011612903225806452,69
Feature Extraction,9,0.011612903225806452,44
Knowledge Representation,9,0.011612903225806452,571
Image Segmentation,9,0.011612903225806452,172
Genetic Algorithm,8,0.01032258064516129,81
Information Retrieval,8,0.01032258064516129,161
Image Recognition,7,0.00903225806451613,61
BD & Cloud Solutions,7,0.00903225806451613,55
Quantum Computing,7,0.00903225806451613,489
Reinforcement Learning,6,0.007741935483870968,12
Supercomputers,6,0.007741935483870968,143
RDBMS & SQL,5,0.0064516129032258064,46
UAM,5,0.0064516129032258064,20
Monte Carlo,5,0.0064516129032258064,499
Image Classification,5,0.0064516129032258064,43
Supervised Learning,5,0.0064516129032258064,55
Data Storage,5,0.0064516129032258064,15
High Performance Computing,4,0.005161290322580645,5
Dimensionality Reduction,4,0.005161290322580645,50
UGV,4,0.005161290322580645,37
Markov,3,0.003870967741935484,38
Machine Translation,2,0.0025806451612903226,19
Dynamic Cloud,2,0.0025806451612903226,5
Optical Computing,2,0.0025806451612903226,40
Text Classification,2,0.0025806451612903226,105
Data Intensive Computing,2,0.0025806451612903226,27
Multi-layer perceptron,2,0.0025806451612903226,7
Edge Computing,2,0.0025806451612903226,1
Autoencoder,2,0.0025806451612903226,2
Data Science,2,0.0025806451612903226,16
Transfer Learning,2,0.0025806451612903226,16
Industry 4 0,2,0.0025806451612903226,17
Mobile Robots,2,0.0025806451612903226,26
Feature Engineering,2,0.0025806451612903226,46
Unsupervised Learning,2,0.0025806451612903226,75
Distributed Computing,2,0.0025806451612903226,79
Dynamic Programming,2,0.0025806451612903226,14
Semantic Search,2,0.0025806451612903226,10
Face Detection,2,0.0025806451612903226,34
Bayesian Inference,2,0.0025806451612903226,62
Voice Recognition,1,0.0012903225806451613,6
Neuromorphic Computing,1,0.0012903225806451613,16
Chatbot,1,0.0012903225806451613,14
Pose Estimation,1,0.0012903225806451613,87
Hardware Acceleration,1,0.0012903225806451613,7
Language Modeling,1,0.0012903225806451613,8
Grid Computing,1,0.0012903225806451613,15
Cyber Infrastructure,1,0.0012903225806451613,18
Search Algorithm,1,0.0012903225806451613,11
Meta Learning,1,0.0012903225806451613,2
Gesture Recognition,1,0.0012903225806451613,2
Transformers & Attention,1,0.0012903225806451613,0
Computer Vision,1,0.0012903225806451613,0
Optimization Algorithm,1,0.0012903225806451613,0
Statistical Learning,1,0.0012903225806451613,9
Boosting,1,0.0012903225806451613,3
Ensemble Modeling,1,0.0012903225806451613,3
Fully Connected Layer,1,0.0012903225806451613,0
Loss Function,1,0.0012903225806451613,7
Deep Neural Net,1,0.0012903225806451613,39
Semi Supervised Learning,1,0.0012903225806451613,5
Unmanned Vehicle,1,0.0012903225806451613,2
