topic,count,proportion,citations
SVM,129,0.17941585535465926,1543
Classification,111,0.15438108484005564,2006
Feature Extraction,66,0.0917941585535466,1368
Voice Recognition,65,0.09040333796940195,796
AI,59,0.08205841446453407,436
Database,42,0.0584144645340751,862
Dimensionality Reduction,31,0.043115438108484005,740
Machine Learning,29,0.04033379694019471,140
Image Classification,23,0.031988873435326845,466
Clustering,14,0.019471488178025034,262
Image Segmentation,13,0.01808066759388039,216
Robotics,12,0.016689847009735744,20
Pattern Recognition,12,0.016689847009735744,3325
Trees,11,0.015299026425591099,130
Supervised Learning,11,0.015299026425591099,363
Convolutional Networks,10,0.013908205841446454,15
Deep Learning,9,0.012517385257301807,91
Regression,9,0.012517385257301807,122
Data Mining,7,0.009735744089012517,13
Statistical Learning,7,0.009735744089012517,120
Robots,6,0.008344923504867872,1
3D Print,4,0.005563282336578581,6
UAM,4,0.005563282336578581,22
Semi Supervised Learning,3,0.004172461752433936,24
Back-propagation,3,0.004172461752433936,3
NLP,3,0.004172461752433936,0
Expert System,3,0.004172461752433936,14
Neuromorphic Computing,2,0.0027816411682892906,58
Genetic Algorithm,2,0.0027816411682892906,102
Knowledge Representation,2,0.0027816411682892906,31
Big Data,2,0.0027816411682892906,4
Nearest Neighbors,2,0.0027816411682892906,5
Boosting,2,0.0027816411682892906,17
High Performance Computing,1,0.0013908205841446453,11
Kernel Machine,1,0.0013908205841446453,7
Information Retrieval,1,0.0013908205841446453,9
Gesture Recognition,1,0.0013908205841446453,7
Clouds,1,0.0013908205841446453,0
Loss Function,1,0.0013908205841446453,0
RNN,1,0.0013908205841446453,0
Computer Vision,1,0.0013908205841446453,37
Manipulator,1,0.0013908205841446453,0
Unsupervised Learning,1,0.0013908205841446453,6
Object Recognition,1,0.0013908205841446453,0
