topic,count,proportion,citations
Classification,119,0.1794871794871795,6685
Image Classification,77,0.11613876319758673,4106
SVM,55,0.08295625942684766,1834
High Performance Computing,44,0.06636500754147813,924
Regression,42,0.06334841628959276,4596
Convolutional Networks,41,0.06184012066365008,136
Feature Extraction,37,0.05580693815987934,1250
GPU,36,0.05429864253393665,724
Deep Learning,24,0.03619909502262444,107
Big Data,14,0.021116138763197588,163
Clouds,11,0.016591251885369532,292
Machine Learning,11,0.016591251885369532,1440
Dimensionality Reduction,11,0.016591251885369532,377
Trees,10,0.015082956259426848,283
AI,10,0.015082956259426848,268
Parallel Processing,10,0.015082956259426848,83
Image Segmentation,10,0.015082956259426848,1142
Clustering,9,0.013574660633484163,163
Multi-layer perceptron,8,0.012066365007541479,91
Distributed Computing,7,0.010558069381598794,405
Semi Supervised Learning,7,0.010558069381598794,15
BD & Cloud Solutions,7,0.010558069381598794,94
Hardware Acceleration,6,0.00904977375565611,102
Database,5,0.007541478129713424,580
Autoencoder,5,0.007541478129713424,9
Cluster Computing,4,0.006033182503770739,210
Data Mining,4,0.006033182503770739,41
Robots,3,0.004524886877828055,8
Monte Carlo,3,0.004524886877828055,2
Genetic Algorithm,3,0.004524886877828055,19
Pattern Recognition,3,0.004524886877828055,1306
Supercomputers,3,0.004524886877828055,47
Transformers & Attention,2,0.0030165912518853697,0
RNN,2,0.0030165912518853697,2
Feature Engineering,2,0.0030165912518853697,42
Optimization Algorithm,2,0.0030165912518853697,24
UAM,2,0.0030165912518853697,24
Fully Connected Layer,2,0.0030165912518853697,2
Information Retrieval,2,0.0030165912518853697,58
Image Recognition,1,0.0015082956259426848,59
Auto Encoder,1,0.0015082956259426848,1
Knowledge Representation,1,0.0015082956259426848,18
NLP,1,0.0015082956259426848,6
Object Recognition,1,0.0015082956259426848,0
Kernel Machine,1,0.0015082956259426848,341
Back-propagation,1,0.0015082956259426848,7
Distributed File System,1,0.0015082956259426848,42
Manipulator,1,0.0015082956259426848,3
Computer Vision,1,0.0015082956259426848,0
