topic,count,proportion,citations
Classification,63,0.1267605633802817,786
Information Retrieval,52,0.10462776659959759,1520
AI,45,0.09054325955734406,354
Database,31,0.06237424547283702,2015
Convolutional Networks,29,0.05835010060362173,93
Machine Learning,29,0.05835010060362173,521
Deep Learning,26,0.052313883299798795,192
Robotics,26,0.052313883299798795,312
Robots,21,0.04225352112676056,370
Computer Vision,15,0.030181086519114688,1016
Feature Extraction,14,0.028169014084507043,111
Big Data,14,0.028169014084507043,55
Image Classification,12,0.02414486921529175,71
Pattern Recognition,11,0.022132796780684104,1490
Object Recognition,11,0.022132796780684104,221
SVM,8,0.01609657947686117,113
Clustering,7,0.014084507042253521,22
Manipulator,6,0.012072434607645875,170
Multi-layer perceptron,6,0.012072434607645875,21
Data Center,5,0.01006036217303823,475
Data Mining,5,0.01006036217303823,67
BD & Cloud Solutions,4,0.008048289738430584,255
Trees,4,0.008048289738430584,36
Supervised Learning,4,0.008048289738430584,29
High Performance Computing,4,0.008048289738430584,2
RDBMS & SQL,3,0.006036217303822937,1
Statistical Learning,3,0.006036217303822937,34
Industry 4 0,3,0.006036217303822937,0
Reinforcement Learning,3,0.006036217303822937,5
3D Print,3,0.006036217303822937,2
Regression,3,0.006036217303822937,47
Distributed Computing,2,0.004024144869215292,4
Clouds,2,0.004024144869215292,1
Data Storage,2,0.004024144869215292,0
Image Segmentation,2,0.004024144869215292,57
Docker,2,0.004024144869215292,2
SaaS,1,0.002012072434607646,0
Genetic Algorithm,1,0.002012072434607646,0
Mobile Robots,1,0.002012072434607646,13
Semantic Search,1,0.002012072434607646,0
Expert System,1,0.002012072434607646,3
Cluster Computing,1,0.002012072434607646,0
Semi Supervised Learning,1,0.002012072434607646,2
Markov,1,0.002012072434607646,1
Dimensionality Reduction,1,0.002012072434607646,0
Optimization Algorithm,1,0.002012072434607646,8
Fully Connected Layer,1,0.002012072434607646,6
Voice Recognition,1,0.002012072434607646,63
Parallel Processing,1,0.002012072434607646,1
GPU,1,0.002012072434607646,1
Nearest Neighbors,1,0.002012072434607646,2
Grid Computing,1,0.002012072434607646,0
Transformers & Attention,1,0.002012072434607646,108
