topic,count,proportion,citations
Robots,185,0.48429319371727747,3454
Robotics,111,0.2905759162303665,2094
AI,39,0.10209424083769633,1377
Humanoid Robots,23,0.060209424083769635,234
Manipulator,12,0.031413612565445025,134
Classification,2,0.005235602094240838,512
Database,2,0.005235602094240838,12
Machine Learning,1,0.002617801047120419,5
3D Print,1,0.002617801047120419,6
Gesture Recognition,1,0.002617801047120419,8
Mobile Robots,1,0.002617801047120419,3
Deep Learning,1,0.002617801047120419,8
Object Recognition,1,0.002617801047120419,6
Optimization Algorithm,1,0.002617801047120419,4
Genetic Algorithm,1,0.002617801047120419,2
