topic,count,proportion,citations
Robots,319,0.21954576737783896,1577
AI,179,0.1231933929800413,1354
Robotics,144,0.09910529938059189,1439
Classification,61,0.04198210598761184,2519
Deep Learning,57,0.03922918100481762,177
Machine Learning,46,0.031658637302133516,390
Mobile Robots,41,0.028217481073640742,121
SVM,34,0.02339986235375086,1284
Convolutional Networks,34,0.02339986235375086,51
UAM,34,0.02339986235375086,202
Object Recognition,28,0.019270474879559532,1194
Big Data,28,0.019270474879559532,368
Regression,26,0.017894012388162423,254
Pattern Recognition,25,0.017205781142463867,5013
Reinforcement Learning,24,0.016517549896765314,86
RNN,23,0.015829318651066758,60
3D Print,23,0.015829318651066758,96
Manipulator,20,0.013764624913971095,132
Data Mining,20,0.013764624913971095,1201
Feature Extraction,19,0.01307639366827254,1174
Quantum Computing,19,0.01307639366827254,1017
Clustering,18,0.012388162422573986,346
Computer Vision,18,0.012388162422573986,257
Database,18,0.012388162422573986,1304
Image Segmentation,13,0.008947006194081212,327
Trees,12,0.008258774948382657,123
Clouds,12,0.008258774948382657,45
Genetic Algorithm,12,0.008258774948382657,62
Humanoid Robots,12,0.008258774948382657,11
Edge Computing,10,0.006882312456985547,137
Monte Carlo,10,0.006882312456985547,521
Information Retrieval,8,0.0055058499655884375,197
AUV,7,0.004817618719889883,81
Search Algorithm,7,0.004817618719889883,127
Gesture Recognition,6,0.0041293874741913286,15
Multi-layer perceptron,5,0.0034411562284927736,13
Data Center,5,0.0034411562284927736,25
Image Classification,5,0.0034411562284927736,1083
Generative Adversarial Network,5,0.0034411562284927736,75
Dimensionality Reduction,5,0.0034411562284927736,10
BD & Cloud Solutions,4,0.0027529249827942187,80
Loss Function,4,0.0027529249827942187,0
Pose Estimation,4,0.0027529249827942187,39
Expert System,4,0.0027529249827942187,12
UGV,4,0.0027529249827942187,0
Autoencoder,3,0.0020646937370956643,0
Markov,3,0.0020646937370956643,14
Image Recognition,3,0.0020646937370956643,1
Transformers & Attention,3,0.0020646937370956643,17
Boosting,3,0.0020646937370956643,14
Voice Recognition,3,0.0020646937370956643,2
Knowledge Representation,3,0.0020646937370956643,11
Machine Translation,2,0.0013764624913971094,15
GPU,2,0.0013764624913971094,15
Unsupervised Learning,1,0.0006882312456985547,0
Self Supervised Learning,1,0.0006882312456985547,10
Data Storage,1,0.0006882312456985547,1
Neuromorphic Computing,1,0.0006882312456985547,0
Semi Supervised Learning,1,0.0006882312456985547,7
Transfer Learning,1,0.0006882312456985547,0
Bayesian Inference,1,0.0006882312456985547,2
Industry 4 0,1,0.0006882312456985547,7
Encoder Decoder,1,0.0006882312456985547,2
Distributed Computing,1,0.0006882312456985547,1
Supervised Learning,1,0.0006882312456985547,17
Face Detection,1,0.0006882312456985547,1
Fog Computing,1,0.0006882312456985547,0
Boltzmann Machine,1,0.0006882312456985547,0
Ensemble Modeling,1,0.0006882312456985547,11
Parallel Processing,1,0.0006882312456985547,3
