topic,count,proportion,citations
Robots,176,0.4595300261096606,848
Robotics,89,0.23237597911227154,410
AI,55,0.14360313315926893,282
Manipulator,12,0.031331592689295036,28
Mobile Robots,11,0.028720626631853787,43
Humanoid Robots,8,0.020887728459530026,89
Object Recognition,8,0.020887728459530026,81
Computer Vision,4,0.010443864229765013,27
AUV,4,0.010443864229765013,0
Classification,4,0.010443864229765013,43
Search Algorithm,2,0.005221932114882507,1
Clustering,2,0.005221932114882507,3
Trees,2,0.005221932114882507,0
Regression,1,0.0026109660574412533,0
Monte Carlo,1,0.0026109660574412533,0
3D Print,1,0.0026109660574412533,3
SVM,1,0.0026109660574412533,1
Machine Learning,1,0.0026109660574412533,1
Dimensionality Reduction,1,0.0026109660574412533,1
