topic,count,proportion,citations
Convolutional Networks,54,0.1210762331838565,301
Classification,35,0.07847533632286996,555
Supercomputers,35,0.07847533632286996,94
Computer Vision,31,0.06950672645739911,409
Deep Learning,29,0.06502242152466367,45
Machine Learning,29,0.06502242152466367,78
High Performance Computing,23,0.0515695067264574,104
Hardware Acceleration,22,0.04932735426008968,114
AI,21,0.04708520179372197,275
SVM,19,0.042600896860986545,142
Gesture Recognition,18,0.04035874439461883,216
Feature Extraction,13,0.02914798206278027,323
Pattern Recognition,10,0.02242152466367713,84
Image Classification,10,0.02242152466367713,155
Data Center,9,0.020179372197309416,14
Object Recognition,8,0.017937219730941704,145
UAM,8,0.017937219730941704,5
Parallel Processing,8,0.017937219730941704,85
Voice Recognition,7,0.01569506726457399,11
Big Data,6,0.013452914798206279,33
Robotics,5,0.011210762331838564,24
Clouds,5,0.011210762331838564,19
Robots,5,0.011210762331838564,23
Edge Computing,4,0.008968609865470852,6
RNN,3,0.006726457399103139,0
Regression,3,0.006726457399103139,20
Data Storage,2,0.004484304932735426,44
Markov,2,0.004484304932735426,26
Grid Computing,2,0.004484304932735426,0
Autoencoder,2,0.004484304932735426,0
Loss Function,1,0.002242152466367713,20
Image Recognition,1,0.002242152466367713,9
Image Segmentation,1,0.002242152466367713,3
Reinforcement Learning,1,0.002242152466367713,0
NLP,1,0.002242152466367713,0
Dimensionality Reduction,1,0.002242152466367713,0
Semi Supervised Learning,1,0.002242152466367713,0
Supervised Learning,1,0.002242152466367713,1
Distributed Computing,1,0.002242152466367713,17
Pose Estimation,1,0.002242152466367713,6
UGV,1,0.002242152466367713,0
Clustering,1,0.002242152466367713,1
Back-propagation,1,0.002242152466367713,1
Optimization Algorithm,1,0.002242152466367713,1
Face Detection,1,0.002242152466367713,34
Cluster Computing,1,0.002242152466367713,36
BD & Cloud Solutions,1,0.002242152466367713,13
Unmanned Vehicle,1,0.002242152466367713,4
