topic,count,proportion,citations
AI,85,0.07616487455197132,1011
Machine Learning,82,0.07347670250896057,944
Classification,78,0.06989247311827956,1155
Big Data,68,0.06093189964157706,941
SVM,55,0.0492831541218638,664
Clouds,54,0.04838709677419355,1307
Robots,45,0.04032258064516129,956
Deep Learning,42,0.03763440860215054,177
Convolutional Networks,38,0.034050179211469536,64
Edge Computing,35,0.03136200716845878,1011
Robotics,34,0.03046594982078853,810
Regression,31,0.027777777777777776,607
Database,30,0.026881720430107527,304
UAM,25,0.022401433691756272,257
Data Mining,25,0.022401433691756272,378
Reinforcement Learning,24,0.021505376344086023,105
Feature Extraction,20,0.017921146953405017,677
Trees,16,0.014336917562724014,89
Clustering,16,0.014336917562724014,277
Genetic Algorithm,15,0.013440860215053764,148
Pattern Recognition,15,0.013440860215053764,3981
RNN,14,0.012544802867383513,344
Computer Vision,13,0.011648745519713262,277
Object Recognition,13,0.011648745519713262,318
Data Center,13,0.011648745519713262,155
Voice Recognition,11,0.00985663082437276,101
3D Print,11,0.00985663082437276,78
Monte Carlo,10,0.008960573476702509,72
Image Segmentation,10,0.008960573476702509,68
BD & Cloud Solutions,10,0.008960573476702509,98
Manipulator,9,0.008064516129032258,414
Back-propagation,8,0.007168458781362007,127
NLP,8,0.007168458781362007,32
Dynamic Programming,7,0.0062724014336917565,101
Quantum Computing,7,0.0062724014336917565,481
Information Retrieval,7,0.0062724014336917565,501
Markov,7,0.0062724014336917565,18
Fog Computing,6,0.005376344086021506,248
Dimensionality Reduction,6,0.005376344086021506,55
RDBMS & SQL,6,0.005376344086021506,33
Multi-layer perceptron,6,0.005376344086021506,49
Data Storage,5,0.004480286738351254,99
Supervised Learning,5,0.004480286738351254,43
Mobile Robots,5,0.004480286738351254,83
Parallel Processing,4,0.0035842293906810036,107
Knowledge Representation,4,0.0035842293906810036,5
Pose Estimation,4,0.0035842293906810036,6
High Performance Computing,4,0.0035842293906810036,58
Generative Adversarial Network,4,0.0035842293906810036,78
Neuromorphic Computing,3,0.002688172043010753,58
Transfer Learning,3,0.002688172043010753,4
Expert System,3,0.002688172043010753,27
Machine Translation,3,0.002688172043010753,3
Unsupervised Learning,3,0.002688172043010753,48
Distributed Computing,3,0.002688172043010753,26
Supercomputers,3,0.002688172043010753,18
Boosting,2,0.0017921146953405018,3
Image Classification,2,0.0017921146953405018,22
Fully Connected Layer,2,0.0017921146953405018,0
Data Science,2,0.0017921146953405018,50
Transformers & Attention,2,0.0017921146953405018,6
Grid Computing,2,0.0017921146953405018,3
AUV,2,0.0017921146953405018,39
Sentiment Analysis,2,0.0017921146953405018,6
Unmanned Vehicle,2,0.0017921146953405018,7
Search Algorithm,2,0.0017921146953405018,18
Humanoid Robots,2,0.0017921146953405018,78
Semi Supervised Learning,2,0.0017921146953405018,2
Ensemble Modeling,2,0.0017921146953405018,17
UGV,2,0.0017921146953405018,6
Auto Encoder,1,0.0008960573476702509,8
Distributed File System,1,0.0008960573476702509,12
Boltzmann Machine,1,0.0008960573476702509,40
Dynamic Cloud,1,0.0008960573476702509,9
Topic Modeling,1,0.0008960573476702509,2
Automated Reasoning,1,0.0008960573476702509,8
Face Detection,1,0.0008960573476702509,0
Statistical Learning,1,0.0008960573476702509,0
Decentralized Computing,1,0.0008960573476702509,1
Text Embedding,1,0.0008960573476702509,1
Feature Engineering,1,0.0008960573476702509,17
Bayesian Inference,1,0.0008960573476702509,0
Language Modeling,1,0.0008960573476702509,0
Docker,1,0.0008960573476702509,2
Bayesian Machine Learning,1,0.0008960573476702509,2
Hardware Acceleration,1,0.0008960573476702509,3
Industry 4 0,1,0.0008960573476702509,1
