topic,count,proportion,citations
Robots,134,0.32211538461538464,3273
Robotics,104,0.25,766
AI,62,0.14903846153846154,417
Manipulator,52,0.125,2152
UAM,14,0.03365384615384615,157
Mobile Robots,11,0.026442307692307692,1479
Pose Estimation,11,0.026442307692307692,95
Humanoid Robots,7,0.016826923076923076,73
Computer Vision,3,0.007211538461538462,76
Feature Extraction,2,0.004807692307692308,109
Dimensionality Reduction,2,0.004807692307692308,5
Machine Learning,2,0.004807692307692308,12
Reinforcement Learning,2,0.004807692307692308,12
3D Print,2,0.004807692307692308,14
Classification,2,0.004807692307692308,4
UGV,2,0.004807692307692308,2
Monte Carlo,1,0.002403846153846154,17
Supervised Learning,1,0.002403846153846154,2
Database,1,0.002403846153846154,0
Unmanned Vehicle,1,0.002403846153846154,2
