topic,count,proportion,citations
Robots,313,0.33121693121693124,11561
Mobile Robots,174,0.18412698412698414,7495
AI,141,0.1492063492063492,4855
Robotics,104,0.11005291005291006,3770
Convolutional Networks,33,0.03492063492063492,532
Classification,21,0.022222222222222223,397
Monte Carlo,15,0.015873015873015872,1173
Feature Extraction,13,0.013756613756613757,1240
Manipulator,13,0.013756613756613757,712
Object Recognition,13,0.013756613756613757,1597
Clustering,12,0.012698412698412698,459
Regression,12,0.012698412698412698,101
Deep Learning,12,0.012698412698412698,343
Reinforcement Learning,9,0.009523809523809525,131
Machine Learning,6,0.006349206349206349,401
Supervised Learning,5,0.005291005291005291,370
Trees,5,0.005291005291005291,7
Optimization Algorithm,5,0.005291005291005291,194
Database,5,0.005291005291005291,242
Markov,4,0.004232804232804233,339
Computer Vision,4,0.004232804232804233,176
UAM,4,0.004232804232804233,223
UGV,3,0.0031746031746031746,1
Pose Estimation,3,0.0031746031746031746,88
Transfer Learning,3,0.0031746031746031746,8
RNN,2,0.0021164021164021165,8
Humanoid Robots,2,0.0021164021164021165,20
Self Supervised Learning,1,0.0010582010582010583,18
SVM,1,0.0010582010582010583,18
Semi Supervised Learning,1,0.0010582010582010583,12
Unsupervised Learning,1,0.0010582010582010583,12
Image Classification,1,0.0010582010582010583,24
Loss Function,1,0.0010582010582010583,6
Image Segmentation,1,0.0010582010582010583,0
Face Detection,1,0.0010582010582010583,6
Generative Adversarial Network,1,0.0010582010582010583,17
