topic,count,proportion,citations
Voice Recognition,180,0.21176470588235294,2472
AI,164,0.19294117647058823,2356
Language Modeling,94,0.11058823529411765,750
RNN,75,0.08823529411764706,575
Machine Translation,59,0.06941176470588235,1364
Classification,41,0.04823529411764706,1070
Multi-layer perceptron,32,0.03764705882352941,118
Feature Extraction,27,0.03176470588235294,482
Deep Learning,25,0.029411764705882353,157
Database,20,0.023529411764705882,413
Pattern Recognition,18,0.021176470588235293,610
Convolutional Networks,17,0.02,71
Object Recognition,14,0.01647058823529412,271
Search Algorithm,10,0.011764705882352941,420
Dynamic Programming,8,0.009411764705882352,283
NLP,6,0.007058823529411765,57
Regression,6,0.007058823529411765,107
Machine Learning,6,0.007058823529411765,143
SVM,5,0.0058823529411764705,80
Loss Function,4,0.004705882352941176,29
Image Classification,4,0.004705882352941176,323
Back-propagation,4,0.004705882352941176,25
Gesture Recognition,3,0.0035294117647058825,12
Image Recognition,3,0.0035294117647058825,124
Transformers & Attention,3,0.0035294117647058825,16
Optimization Algorithm,3,0.0035294117647058825,54
Computer Vision,2,0.002352941176470588,41
Information Retrieval,2,0.002352941176470588,24
Semi Supervised Learning,2,0.002352941176470588,34
Clustering,2,0.002352941176470588,23
Nearest Neighbors,2,0.002352941176470588,9
Fully Connected Layer,1,0.001176470588235294,21
Unsupervised Learning,1,0.001176470588235294,3
Parallel Processing,1,0.001176470588235294,3
Encoder Decoder,1,0.001176470588235294,3
Transfer Learning,1,0.001176470588235294,1
Loss Functions,1,0.001176470588235294,0
Distributed Computing,1,0.001176470588235294,180
Data Mining,1,0.001176470588235294,128
RDBMS & SQL,1,0.001176470588235294,78
