topic,count,proportion,citations
Robots,271,0.3717421124828532,1273
Robotics,122,0.1673525377229081,865
AI,113,0.1550068587105624,700
Mobile Robots,33,0.04526748971193416,101
Object Recognition,19,0.02606310013717421,62
Reinforcement Learning,14,0.019204389574759947,65
Manipulator,13,0.01783264746227709,66
Deep Learning,11,0.015089163237311385,60
Classification,11,0.015089163237311385,123
UAM,11,0.015089163237311385,60
Humanoid Robots,10,0.013717421124828532,11
Computer Vision,10,0.013717421124828532,217
Convolutional Networks,9,0.012345679012345678,1
Feature Extraction,7,0.009602194787379973,14
SVM,6,0.00823045267489712,30
3D Print,6,0.00823045267489712,13
Machine Learning,5,0.006858710562414266,21
Image Segmentation,5,0.006858710562414266,84
Regression,5,0.006858710562414266,8
AUV,4,0.0054869684499314125,0
Pose Estimation,4,0.0054869684499314125,39
Genetic Algorithm,4,0.0054869684499314125,26
Search Algorithm,3,0.00411522633744856,40
Pattern Recognition,3,0.00411522633744856,3
Markov,2,0.0027434842249657062,5
Clustering,2,0.0027434842249657062,1
Gesture Recognition,2,0.0027434842249657062,8
Database,2,0.0027434842249657062,8
Multi-layer perceptron,2,0.0027434842249657062,0
Image Recognition,2,0.0027434842249657062,1
Knowledge Representation,2,0.0027434842249657062,0
Big Data,2,0.0027434842249657062,1
Parallel Processing,1,0.0013717421124828531,3
Expert System,1,0.0013717421124828531,3
Neuromorphic Computing,1,0.0013717421124828531,0
Generative Adversarial Network,1,0.0013717421124828531,17
RNN,1,0.0013717421124828531,1
Loss Function,1,0.0013717421124828531,0
Clouds,1,0.0013717421124828531,7
Dimensionality Reduction,1,0.0013717421124828531,8
Face Detection,1,0.0013717421124828531,1
Image Classification,1,0.0013717421124828531,25
GPU,1,0.0013717421124828531,10
Supervised Learning,1,0.0013717421124828531,0
Voice Recognition,1,0.0013717421124828531,0
Monte Carlo,1,0.0013717421124828531,2
