topic,count,proportion
Convolutional Networks,68,0.4276729559748428
UGV,17,0.1069182389937107
Object Recognition,15,0.09433962264150944
Back-propagation,12,0.07547169811320754
Regression,6,0.03773584905660377
Deep Learning,6,0.03773584905660377
Reinforcement Learning,6,0.03773584905660377
Generative Adversarial Network,6,0.03773584905660377
UAM,4,0.025157232704402517
SVM,3,0.018867924528301886
Image Segmentation,2,0.012578616352201259
Classification,2,0.012578616352201259
RNN,2,0.012578616352201259
Robots,2,0.012578616352201259
Fully Connected Layer,2,0.012578616352201259
Image Recognition,2,0.012578616352201259
Transformers & Attention,1,0.006289308176100629
Feature Extraction,1,0.006289308176100629
Clustering,1,0.006289308176100629
AI,1,0.006289308176100629
