topic,count,proportion
Convolutional Networks,64,0.42105263157894735
UGV,17,0.1118421052631579
Object Recognition,15,0.09868421052631579
Back-propagation,10,0.06578947368421052
Regression,6,0.039473684210526314
Deep Learning,6,0.039473684210526314
Reinforcement Learning,6,0.039473684210526314
Generative Adversarial Network,6,0.039473684210526314
UAM,4,0.02631578947368421
SVM,3,0.019736842105263157
Robots,2,0.013157894736842105
Image Recognition,2,0.013157894736842105
Fully Connected Layer,2,0.013157894736842105
RNN,2,0.013157894736842105
Classification,2,0.013157894736842105
Clustering,1,0.006578947368421052
AI,1,0.006578947368421052
Transformers & Attention,1,0.006578947368421052
Feature Extraction,1,0.006578947368421052
Image Segmentation,1,0.006578947368421052
