topic,count,proportion
Convolutional Networks,59,0.42142857142857143
Object Recognition,15,0.10714285714285714
UGV,13,0.09285714285714286
Back-propagation,9,0.06428571428571428
Regression,6,0.04285714285714286
Reinforcement Learning,6,0.04285714285714286
Generative Adversarial Network,6,0.04285714285714286
Deep Learning,5,0.03571428571428571
UAM,4,0.02857142857142857
SVM,3,0.02142857142857143
Robots,2,0.014285714285714285
Image Recognition,2,0.014285714285714285
Fully Connected Layer,2,0.014285714285714285
RNN,2,0.014285714285714285
Clustering,1,0.007142857142857143
Classification,1,0.007142857142857143
AI,1,0.007142857142857143
Transformers & Attention,1,0.007142857142857143
Feature Extraction,1,0.007142857142857143
Image Segmentation,1,0.007142857142857143
