topic,count,proportion
Convolutional Networks,52,0.5360824742268041
Object Recognition,9,0.09278350515463918
UGV,8,0.08247422680412371
Generative Adversarial Network,6,0.061855670103092786
UAM,4,0.041237113402061855
Reinforcement Learning,3,0.030927835051546393
SVM,3,0.030927835051546393
Image Recognition,2,0.020618556701030927
Regression,2,0.020618556701030927
Classification,2,0.020618556701030927
Robots,2,0.020618556701030927
Deep Learning,1,0.010309278350515464
Image Segmentation,1,0.010309278350515464
Fully Connected Layer,1,0.010309278350515464
Clustering,1,0.010309278350515464
