topic,count,proportion
Convolutional Networks,21,0.3442622950819672
UGV,9,0.14754098360655737
Deep Learning,7,0.11475409836065574
Object Recognition,6,0.09836065573770492
Back-propagation,4,0.06557377049180328
Generative Adversarial Network,3,0.04918032786885246
Reinforcement Learning,3,0.04918032786885246
Pose Estimation,2,0.03278688524590164
UAM,2,0.03278688524590164
Database,1,0.01639344262295082
Meta Learning,1,0.01639344262295082
Classification,1,0.01639344262295082
Regression,1,0.01639344262295082
