topic,count,proportion
Convolutional Networks,17,0.30357142857142855
Deep Learning,7,0.125
Object Recognition,6,0.10714285714285714
Back-propagation,5,0.08928571428571429
Reinforcement Learning,5,0.08928571428571429
UGV,5,0.08928571428571429
Generative Adversarial Network,3,0.05357142857142857
Pose Estimation,2,0.03571428571428571
UAM,2,0.03571428571428571
Database,1,0.017857142857142856
Image Segmentation,1,0.017857142857142856
Meta Learning,1,0.017857142857142856
Regression,1,0.017857142857142856
