topic,count,proportion
Convolutional Networks,17,0.32075471698113206
Deep Learning,6,0.11320754716981132
Object Recognition,6,0.11320754716981132
Back-propagation,5,0.09433962264150944
UGV,5,0.09433962264150944
Generative Adversarial Network,3,0.05660377358490566
Reinforcement Learning,3,0.05660377358490566
Pose Estimation,2,0.03773584905660377
UAM,2,0.03773584905660377
Database,1,0.018867924528301886
Image Segmentation,1,0.018867924528301886
Meta Learning,1,0.018867924528301886
Regression,1,0.018867924528301886
