topic,count,proportion
Convolutional Networks,69,0.42857142857142855
UGV,17,0.10559006211180125
Object Recognition,15,0.09316770186335403
Back-propagation,12,0.07453416149068323
Regression,7,0.043478260869565216
Deep Learning,6,0.037267080745341616
Reinforcement Learning,6,0.037267080745341616
Generative Adversarial Network,6,0.037267080745341616
UAM,4,0.024844720496894408
SVM,3,0.018633540372670808
Image Segmentation,2,0.012422360248447204
Classification,2,0.012422360248447204
RNN,2,0.012422360248447204
Robots,2,0.012422360248447204
Fully Connected Layer,2,0.012422360248447204
Image Recognition,2,0.012422360248447204
Transformers & Attention,1,0.006211180124223602
Feature Extraction,1,0.006211180124223602
Clustering,1,0.006211180124223602
AI,1,0.006211180124223602
