topic,count,proportion
Convolutional Networks,69,0.43670886075949367
UGV,17,0.10759493670886076
Object Recognition,15,0.0949367088607595
Back-propagation,12,0.0759493670886076
Regression,7,0.04430379746835443
Generative Adversarial Network,6,0.0379746835443038
Deep Learning,5,0.03164556962025317
UAM,4,0.02531645569620253
Reinforcement Learning,4,0.02531645569620253
SVM,3,0.0189873417721519
Image Segmentation,2,0.012658227848101266
Classification,2,0.012658227848101266
RNN,2,0.012658227848101266
Robots,2,0.012658227848101266
Fully Connected Layer,2,0.012658227848101266
Image Recognition,2,0.012658227848101266
Transformers & Attention,1,0.006329113924050633
Feature Extraction,1,0.006329113924050633
Clustering,1,0.006329113924050633
AI,1,0.006329113924050633
