Topic,count,ScienceT,year,citations
AI,5,Building Technology,2000,33238
Robots,3,Building Technology,2000,12399
Robotics,2,Building Technology,2000,6934
Data Mining,1,Building Technology,2000,7278
Voice Recognition,1,Building Technology,2000,1859
Expert System,1,Building Technology,2000,4310
Database,1,Building Technology,2000,3802
Information Retrieval,1,Building Technology,2000,5576
Robots,359,Robotics,2000,12399
AI,144,Robotics,2000,33238
Robotics,144,Robotics,2000,6934
Mobile Robots,113,Robotics,2000,3563
Manipulator,90,Robotics,2000,3505
Object Recognition,16,Robotics,2000,9158
Computer Vision,13,Robotics,2000,6318
Reinforcement Learning,13,Robotics,2000,589
Classification,13,Robotics,2000,18948
AUV,6,Robotics,2000,759
Pose Estimation,6,Robotics,2000,284
Genetic Algorithm,5,Robotics,2000,1834
Feature Extraction,4,Robotics,2000,10130
Pattern Recognition,4,Robotics,2000,16984
Humanoid Robots,3,Robotics,2000,32
Image Segmentation,3,Robotics,2000,3834
Clustering,3,Robotics,2000,6232
Knowledge Representation,3,Robotics,2000,1692
UGV,2,Robotics,2000,203
Image Classification,2,Robotics,2000,1385
RNN,2,Robotics,2000,271
High Performance Computing,2,Robotics,2000,258
Markov,2,Robotics,2000,817
UAM,2,Robotics,2000,211
Search Algorithm,2,Robotics,2000,362
Expert System,1,Robotics,2000,4310
Quantum Computing,1,Robotics,2000,7120
Image Recognition,1,Robotics,2000,238
Supercomputers,1,Robotics,2000,389
Distributed Computing,1,Robotics,2000,39
Gesture Recognition,1,Robotics,2000,93
Parallel Processing,1,Robotics,2000,96
Information Retrieval,1,Robotics,2000,5576
Multi-layer perceptron,1,Robotics,2000,1563
Statistical Learning,1,Robotics,2000,3373
Self Supervised Learning,1,Robotics,2000,10
Machine Learning,1,Robotics,2000,2768
Back-propagation,1,Robotics,2000,1960
Robotics,7,Agriculture,2000,6934
Robots,7,Agriculture,2000,12399
Pattern Recognition,6,Agriculture,2000,16984
Expert System,5,Agriculture,2000,4310
AI,3,Agriculture,2000,33238
Classification,2,Agriculture,2000,18948
Dimensionality Reduction,2,Agriculture,2000,6832
Regression,1,Agriculture,2000,2718
Back-propagation,1,Agriculture,2000,1960
Machine Learning,1,Agriculture,2000,2768
Mobile Robots,1,Agriculture,2000,3563
Classification,7,Life Sciences,2000,18948
Pattern Recognition,5,Life Sciences,2000,16984
Back-propagation,2,Life Sciences,2000,1960
Image Segmentation,2,Life Sciences,2000,3834
Object Recognition,2,Life Sciences,2000,9158
Regression,2,Life Sciences,2000,2718
Machine Learning,2,Life Sciences,2000,2768
Database,1,Life Sciences,2000,3802
Generative Adversarial Network,1,Life Sciences,2000,67
Data Mining,1,Life Sciences,2000,7278
AI,1,Life Sciences,2000,33238
Dimensionality Reduction,1,Life Sciences,2000,6832
Expert System,1,Life Sciences,2000,4310
SVM,1,Life Sciences,2000,3534
Supervised Learning,1,Life Sciences,2000,797
Unsupervised Learning,1,Life Sciences,2000,845
Robotics,1,Life Sciences,2000,6934
Pattern Recognition,1,Morphology,2000,16984
Data Mining,2,Social Sciences,2000,7278
Classification,2,Social Sciences,2000,18948
Expert System,2,Social Sciences,2000,4310
Regression,1,Social Sciences,2000,2718
AI,1,Social Sciences,2000,33238
Pattern Recognition,1,Social Sciences,2000,16984
Database,1,Social Sciences,2000,3802
Image Segmentation,1,Social Sciences,2000,3834
Robots,1,Social Sciences,2000,12399
Manipulator,1,Social Sciences,2000,3505
