topic,count,proportion,citations
Clouds,344,0.261995430312262,8419
Big Data,129,0.09824828636709824,2237
BD & Cloud Solutions,74,0.05635948210205636,1026
Data Center,71,0.05407463823305408,3398
High Performance Computing,62,0.04722010662604722,3370
Machine Learning,46,0.035034272658035034,205
Classification,38,0.028941355674028942,329
Distributed Computing,36,0.027418126428027417,785
Fog Computing,33,0.02513328255902513,718
Grid Computing,32,0.024371667936024372,692
Edge Computing,31,0.02361005331302361,425
Deep Learning,26,0.019801980198019802,93
Data Mining,25,0.01904036557501904,398
IaaS,25,0.01904036557501904,1038
Database,22,0.016755521706016754,137
Supercomputers,21,0.015993907083015995,325
Genetic Algorithm,21,0.015993907083015995,182
Clustering,18,0.013709063214013708,278
UAM,16,0.012185833968012186,36
Data Storage,16,0.012185833968012186,269
AI,15,0.011424219345011425,130
SaaS,10,0.007616146230007616,220
Data Intensive Computing,10,0.007616146230007616,462
PaaS,10,0.007616146230007616,130
Information Retrieval,9,0.006854531607006854,128
Cluster Computing,9,0.006854531607006854,90
Regression,9,0.006854531607006854,28
Convolutional Networks,9,0.006854531607006854,6
Reinforcement Learning,8,0.006092916984006093,34
Robots,8,0.006092916984006093,118
Docker,7,0.005331302361005331,36
Sentiment Analysis,6,0.00456968773800457,49
SVM,6,0.00456968773800457,57
Knowledge Representation,6,0.00456968773800457,60
GPU,6,0.00456968773800457,40
Data Science,6,0.00456968773800457,36
Cyber Infrastructure,6,0.00456968773800457,81
Industry 4 0,5,0.003808073115003808,52
Monte Carlo,5,0.003808073115003808,35
NRDBMS & NoSQL,5,0.003808073115003808,75
Multi-layer perceptron,4,0.0030464584920030465,7
Parallel Processing,4,0.0030464584920030465,47
Feature Extraction,4,0.0030464584920030465,9
Distributed File System,4,0.0030464584920030465,47
Robotics,4,0.0030464584920030465,4
Search Algorithm,4,0.0030464584920030465,34
NLP,3,0.002284843869002285,22
RDBMS & SQL,3,0.002284843869002285,44
Back-propagation,3,0.002284843869002285,44
Computer Vision,3,0.002284843869002285,14
Dynamic Cloud,3,0.002284843869002285,71
Trees,3,0.002284843869002285,1
Markov,3,0.002284843869002285,17
Boosting,2,0.0015232292460015233,0
Hardware Acceleration,2,0.0015232292460015233,2
Supervised Learning,2,0.0015232292460015233,0
Expert System,2,0.0015232292460015233,33
Pattern Recognition,2,0.0015232292460015233,53
AWS,2,0.0015232292460015233,16
Text Classification,2,0.0015232292460015233,12
Semantic Search,2,0.0015232292460015233,30
Dimensionality Reduction,1,0.0007616146230007616,50
Unsupervised Learning,1,0.0007616146230007616,22
Transformers & Attention,1,0.0007616146230007616,6
Statistical Learning,1,0.0007616146230007616,6
Decentralized Computing,1,0.0007616146230007616,8
Automated Reasoning,1,0.0007616146230007616,5
Fully Connected Layer,1,0.0007616146230007616,0
Optimization Algorithm,1,0.0007616146230007616,0
Quantum Computing,1,0.0007616146230007616,0
Image Recognition,1,0.0007616146230007616,1
RNN,1,0.0007616146230007616,1
